artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine,accessionNumber
Magritteing of Minds,William Anthony,American,1934,0,1985,Oil and graphite on canvas,"H. 28, W. 36 inches (71.1 x 91.4 cm.)",Paintings,"Gift of Stuart and Niraj Katz, 1993",1993.207
Homage to the Square: Dilated,Josef Albers,MetDoesntKnow,1888,1976,1969,Oil on Masonite,"H. 48, W. 48 inches (121.9 x 121.9 cm.)",Paintings,"Gift of the artist, 1972",1972.40.6
Maine Coast,Fairfield Porter,American,1907,1975,1958,Oil on canvas,"H. 18, W. 34 inches (86.4 x 45.7 cm.)",Paintings,"Gift of Stanley Posthorn, 1986",1986.361.2
Mrs. Stephen Van Rensselaer III (Cornelia Paterson),Robert Fulton,American,1765,1815,1810,Watercolor on ivory,Sight: 3 1/8 x 2 1/2 in. (7.9 x 6.4 cm),Paintings,"Bequest of Cornelia Cruger, 1923",24.19.2
"At Sea, Japan",Jennifer Bartlett,American,1941,0,1980,"Watercolor, gouache, and graphite on paper","Overall size: H. 22-1/2, W. 95-1/4 inches (57.2 x 241.9 cm.) Each: 6 sheets H. 22-1/2, W. 16-3/4 inches (57.2 x 42.5 cm.)",Drawings,"Kathryn E. Hurd Fund, 1983",1983.456
"Heifers, Pawlet, Vermont",Altoon Sultan,American,1948,0,1987,Oil on canvas,"H. 30, W. 72 inches (76.2 x 182.9 cm.)",Paintings,"Purchase, Lila Acheson Wallace Gift, 1988",1988.59
The Innocent Eye Test,Mark Tansey,American,1949,0,1981,Oil on canvas,78 x 120 in. (198.1 x 304.8 cm),Paintings,"Gift of Jan Cowles and Charles Cowles, in honor of William S. Lieberman, 1988",1988.183
Studio Corner,Gregory Gillespie,American,1936,2000,1986,"Oil, alkyd, acrylic, graphite, paper, and wood on wood","H. 96, W. 96-1/4 inches (243.8 x 244.5 cm.)",Paintings,"Anonymous Gift, 1986",1986.411ab
Head (Hiding Face),Jim Dine,American,1935,0,1959,Oil and pasted cloth on gesso board,"H. 26-3/4, W. 23 inches (67.9 x 58.4 cm.)",Paintings,"Gift of Stanley Posthorn, 1979",1979.552
View of New York City,Colin Campbell Cooper,American,1856,1937,0,"Watercolor, gouache on paper",21 3/4 x 30 in. (55.2 x 76.2 cm),Drawings,"Gift of Margaret and Raymond J. Horowitz, 1983",1983.531
"From Paradise to Purgatory, Newport",William Trost Richards,American,1833,1905,1878,"Watercolor, gouache, and graphite on off-white wove paper",10 x 14 3/8 in. (25.4 x 36.5 cm),Drawings,"Bequest of Susan Dwight Bliss, 1966",67.55.142
Henry G. Marquand,John Singer Sargent,American,1856,1925,1897,Oil on canvas,52 x 41 3/4 in. (132.1 x 106 cm),Paintings,"Gift of the Trustees, 1897",97.43
Take Off,Helen Frankenthaler,American,1928,2011,1956,Oil and enamel on canvas,54 3/4 x 25 in. (139.1 x 63.5 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",2006.32.17
Samuel Mifflin,Charles Willson Peale,American,1741,1827,1780,Oil on canvas,49 7/8 x 39 3/4 in. (126.4 x 101 cm),Paintings,"Egleston Fund, 1922",22.153.1
"Matin閑 Crowd, Manhattan",Everett Shinn,American,1876,1953,1904,Pastel and gouache on illustration board,18 1/4 x 11 in. (46.4 x 27.9 cm),Drawings,"Gift of A. E. Gallatin, 1923",23.230.5
"Memory Test: Free, White & Plastic (#114)",Howardena Pindell,American,1943,0,1980,"Acrylic, watercolor, gouache, ink, thread, nails, mat board, spray adhesive and plastic on cardboard","H. 18, W. 17 inches (45.6 x 43.1 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1980",1980.150
Dutch Daybreak,Christopher Brown,American,1951,0,1990,Oil on canvas,"H. 90-1/2, W. 90 inches (229.9 x 228.6 cm.)",Paintings,"Gift of Gerson and Barbara Bakar, 1990",1990.263
Edward Livingston,Anson Dickinson,MetDoesntKnow,1779,1852,1827,Watercolor on ivory in brown leatherette case with green silk and velvet lining,4 1/8 x 3 1/4 in. (10.5 x 8.3 cm),Paintings,"Fletcher Fund, 1938",38.41
"Daniel Strobel, Jr.",John Vanderlyn,American,1775,1852,1799,"Probably Cont?crayon, black chalk, and white gouache on off-white wove paper",8 3/8 x 6 3/8 in. (21.3 x 16.2 cm),Drawings,"Bequest of Ella Church Strobell, 1917",17.134.1
Design for window,Louis Comfort Tiffany,American,1848,1933,0,"Grisaille heightened with white gouache, graphite, pen and ink on paper mounted on board in original double matt",Overall: 16 7/16 x 9 13/16 in. (41.8 x 24.9 cm) Other (Design): 7 x 1 11/16 in. (17.8 x 4.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.451
Watson and the Shark,After John Singleton Copley,American,1738,1815,1778,Oil on canvas,24 7/8 x 30 1/8 in. (63.2 x 76.5 cm),Paintings,"Gift of Mrs. Gordon Dexter, 1942",42.71.1
It's Raining,Norman Bluhm,American,1920,1999,1960,Gouache and ink on paper,"H. 48, W. 40 inches (121.9 x 101.6 cm.)",Drawings,"Gift of Mr. and Mrs. Norman Bluhm, 1984",1984.333
Leah's Renoir,Sam Gilliam,American,1933,0,1979,Acrylic on canvas with collage sections,"H. 80, W. 195 inches (203.2 x 495.3 cm.)",Paintings,"George A. Hearn Fund, 1979",1979.212
Drawing of a figure of Christ,Louis Comfort Tiffany,American,1848,1933,0,Gouache and graphite on artist board in original window matt with gold metallic finish.,Overall: 20 7/8 x 12 13/16 in. (53 x 32.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.213
Janet Halleck Drake,Henry Inman,American,1801,1846,1825,Oil on canvas,29 3/4 x 24 3/4 in. (75.6 x 62.9 cm),Paintings,"Purchase, Gift of Edgar William and Bernice Chrylser Garbisch, by exchange, 1996",1996.348
Charles Wagner,Benjamin Trott,MetDoesntKnow,1770,1843,0,Watercolor on ivory,2 13/16 x 2 3/16 in. (7.1 x 5.5 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.212
Cannon Rock,Winslow Homer,American,1836,1910,1895,Oil on canvas,40 x 40 in. (101.6 x 101.6 cm),Paintings,"Gift of George A. Hearn, 1906",06.1281
Onions and Tomato,Mary Ann Currier,American,1927,0,1984,Oil pastel on mat board,"H.26-1/2, W.56 inches (67.3 x 142.2 cm.)",Drawings,"Purchase, Dr. and Mrs. Robert E. Carroll Gift, 1985",1985.78
Mountains in Moonlight,Arthur B. Davies,American,1862,1928,0,Pastel and gouache on dark blue wove paper,8 1/16 x 11 9/16 in. (20.5 x 29.4 cm),Drawings,"Gift of A. W. Bahr, 1958",58.21.30
Design for chancel,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, pen and brown ink, graphite",Overall: 31 1/4 x 30 in. (79.4 x 76.2 cm) Design: 26 1/4 x 26 1/4 in. (66.7 x 66.7 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.61
Red and Yellow Cliffs,Georgia O'Keeffe,American,1887,1986,1940,Oil on canvas,24 x 36 in. (61 x 91.4 cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986",1987.377.4
Young Mother Sewing,Mary Cassatt,American,1844,1926,1900,Oil on canvas,36 3/8 x 29 in. (92.4 x 73.7 cm),Paintings,"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",29.100.48
Design for figural window,Louis Comfort Tiffany,American,1848,1933,1920,"Gouache and watercolor over silver gelatin photograph collage and watercolor, pen and black India ink, and graphite on wove paper support:",16 9/16 x 11 13/16 in. (42 x 30 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.463
Taking the Census,Francis William Edmonds,American,1806,1863,1854,Oil on canvas,28 x 38 in. (71.1 x 96.5 cm),Paintings,"Gift of Diane, Daniel, and Mathew Wolf, in honor of John K. Howat and Lewis I. Sharp, 2006",2006.457
Nude with Tattoo,Joe Brainard,American,1942,1994,1974,Oil and ink on canvas,"H. 16, W. 12 inches (40.6 x 30.5 cm.)",Paintings,"Gift of Stanley Posthorn, in memory of the artist, 1997",1997.404.22
Fruit,Julian Alden Weir,American,1852,1919,1888,Oil on canvas,21 1/8 x 17 3/16 in. (53.7 x 43.7 cm),Paintings,"Purchase, Gift of Robert E. Tod, by exchange, 1980",1980.219
Egyptian Woman,John Singer Sargent,American,1856,1925,1891,Oil on canvas,25 1/2 x 21 in. (64.8 x 53.3 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.21
"Portrait of Berdie, Number II",Larry Rivers,American,1923,2002,1953,Oil on canvas,82 1/8 x 56 1/8 in. (208.6 x 142.6 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",2006.32.53
Samuel Chase,William Russell Birch,MetDoesntKnow,1755,1834,1790,Enameled copper in gold locket set with pearls,1 7/16 x 1 1/4 in. (3.7 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.11
"Lake Como, May 1, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1982.217.8 recto
A North River Recreation Pier,Jerome Myers,American,1867,1940,1905,Oil on canvas,25 3/16 x 30 1/16 in. (64 x 76.4 cm),Paintings,"George A. Hearn Fund, 1966",66.47
Autumn Uplands,Bruce Crane,American,1857,1937,1908,Oil on canvas,27 x 41 in. (68.6 x 104.1 cm),Paintings,"Gift of George A. Hearn, 1909",09.72.2
Alpha-Pi,Morris Louis,American,1912,1962,1960,Magna on canvas,102 1/2 x 177 in. (260.4 x 449.6cm),Paintings,"Arthur Hoppock Hearn Fund, 1967",67.232
Self-Portrait,Gene Davis,American,1920,1985,1982,Acrylic on canvas,"H. 104, W. 68 inches (264.2 x 172.7 cm.)",Paintings,"Gift of Charles Cowles, 1983",1983.78.2
Pea Point from South Meadow,Fairfield Porter,American,1907,1975,1974,Oil on pressboard,"H. 18, W. 22 inches (45.7 x 55.9 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",1993.406.10
Projet de Violence III,Dorothea Tanning,American,1910,2012,0,"Watercolor, gouache, and graphite on paper",Sheet: 14 3/8 x 12 1/8 in. (36.5 x 30.8 cm) Image: 10 x 7 1/8 in. (25.4 x 18.1 cm),Drawings,"Bequest of William S. Lieberman, 2005",2007.49.92
Pietrasanta Painting,Caio Fonseca,American,1959,0,1995,Gouache and ink on paper,H. 18 x W. 24 in. (45.7 x 61 cm),Drawings,"Gift of Dr. Alvin E. Friedman-Kien, 2007",2007.499
"Main Street, Brewster",Margit Varga,American,1908,2005,1941,Oil on canvas,"H. 25-7/8, W. 32 inches (65.7 x 81.3 cm.)",Paintings,"Gift of Mrs. William J. Mahoney Jr., 1947",47.47
Clem's No. I,Frank Bowling,British,1936,0,1972,Acrylic on canvas,"H. 67, W. 28 inches (170.2 x 71.1 cm.)",Paintings,"Gift of Madeline Mohr, 1980",1980.574.2
Photogravure of painting,Louis Comfort Tiffany,American,1848,1933,0,Photogravure of a painting (?) mounted on board,Overall: 19 15/16 x 16 in. (50.6 x 40.6 cm) Design: 8 x 6 1/8 in. (20.3 x 15.6 cm),Photographs,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.208
"The Heart, South of Naples",Jim Dine,American,1935,0,1986,Oil on canvas,"H. 83, W. 71 inches (210 x 180.3 cm.)",Paintings,"Anonymous Gift, 1986",1986.404
Statement,Manierre Dawson,American,1887,1969,1913,Oil on wood panel,16 x 12 1/8 in. (40.6 x 30.8 cm),Paintings,"Gift of Peter Lockwood, 2006",2006.222
Concord,Barnett Newman,American,1905,1970,1949,Oil and masking tape on canvas,"H. 89-3/4, W. 53-5/8 inches (228 x 136.2 cm.)",Paintings,"George A. Hearn Fund, 1968",68.178
David,Maxwell Hendler,American,1938,0,1965,Oil on wood,"H. 12, W. 24 inches (30.5 x 61.2 cm.)",Paintings,"Gift of the artist, 1975",1975.288
Morning in the Cleveland Flats,Richard Chiriani,American,1942,0,1979,Alkyd on canvas mounted on composition board,"H. 41-1/4, W. 107-1/8 inches (104.8 x 272.1 cm.)",Paintings,"Gift of Dr. and Mrs. Robert E. Carroll, 1985",1985.429
And She Was a Witch,George Fuller,American,1822,1884,1884,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),Paintings,"Gift of George I. Seney, 1887",87.8.7
Autumn Color,Marsden Hartley,American,1877,1943,1910,Oil on cardboard,"H. 11-7/8, W. 14 inches (30.2 x 35.6 cm.)",Paintings,"Anonymous Gift, in memory of Robert Glenn Price, 1954",54.184.1
Arras,Conrad Marca-Relli,American,1913,2000,1955,Painted canvas collage,"H. 36-7/8, W. 46-5/8 inches (93.7 x 118.4 cm.)",Paintings,"Gift of Edwin L. Weisl, Jr., 1971",1971.109
"Cult Figure, Number 6",Ford Crull,American,1952,0,1988,"Oilstick, oil, and graphite on paper","H. 30, W. 22-1/4 inches (76.2 x 56.5 cm.)",Drawings,"Van Day Truex Fund, 1991",1991.12.1
Portrait of a Man,School of Sir Godrey Kneller 1646?723,MetDoesntKnow,1646,1723,1730,Oil on canvas,49 3/4 x 39 3/4 in. (125.2 x 99.8 cm),Paintings,"Gift of The Chester Dale Collection, 1954",54.196.1
Design for lantern,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, colored pencil, and graphite on board.",Overall: 24 3/8 x 13 1/2 in. (61.9 x 34.3 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.344
Uncle Charles,Charles Cromwell Ingham,MetDoesntKnow,1786,1863,1844,Watercolor on ivory in maroon leatherette case with ormolu mat,4 1/8 x 3 1/8 in. (10.5 x 8 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.91
Villandry II,Idelle Weber,American,1932,0,1984,Oil on canvas,"H. 43, W. 45-1/8 inches (149.2 x 114.6 cm.)",Paintings,"Gift of Jane and Robert E. Carroll, 1991",1991.175.7
Peace and Plenty,George Inness,American,1825,1894,1865,Oil on canvas,77 5/8 x 112 3/8 in. (197.2 x 285.4 cm),Paintings,"Gift of George A. Hearn, 1894",94.27
Study of a Man,Thomas Hovenden,MetDoesntKnow,1840,1895,0,Graphite and white gouache on blue wove paper,13 1/8 x 9 1/2 in. (33.3 x 24.1 cm),Drawings,"Rogers Fund, 1962",62.198.1
Lady with Fan,Frank Duveneck,American,1848,1919,1873,Oil on canvas,42 3/4 x 32 1/4 in. (108.6 x 81.9 cm),Paintings,"Gift of the Charles F. Williams family, 1966",66.19
Tobias and the Angel,Thomas Wilmer Dewing,MetDoesntKnow,1851,1938,1887,Oil on canvas,24 1/8 x 40 1/8 in. (61.3 x 101.9 cm),Paintings,"Gift of Edward D. Adams, 1919",19.171.1
Lingering Memories,Peggy Bacon,American,1895,1987,1954,"Ink, watercolor, and gouache on paper","H. 20-5/8, W. 29-1/4 inches (52.4 x 74.3 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1956",56.76
Robert Gilmor,Robert Field,MetDoesntKnow,1769,1819,1804,Watercolor on ivory,3 1/2 x 2 3/4 in. (8.9 x 7 cm),Paintings,"Bequest of Charles Allen Munn, 1924",24.109.91
The Glazier,Willem de Kooning,MetDoesntKnow,1904,1997,1940,Oil on canvas,"H. 54, W. 44 inches (137.2 x 111.8 cm.)",Paintings,"From the Collection of Thomas B. Hess, Gift of the heirs of Thomas B. Hess, 1984",1984.613.1
Lady in Black,William Merritt Chase,American,1849,1916,1888,Oil on canvas,74 1/4 x 36 5/16 in. (188.6 x 92.2 cm),Paintings,"Gift of William Merritt Chase, 1891",91.11
The American School,Matthew Pratt,MetDoesntKnow,1734,1805,1765,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),Paintings,"Gift of Samuel P. Avery, 1897",97.29.3
Design for double window,Frederick Wilson 1858-1932,MetDoesntKnow,1858,1932,1908,Watercolor and gouache on paper mounted on original matt board,"Overall: 10 1/4 x 12 1/4 in. (26 x 31.1 cm) Design, each lancet: 7 5/8 x 3 3/4 in. (19.4 x 9.5 cm)",Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.73
Mrs. Luman Reed,Charles Cromwell Ingham,MetDoesntKnow,1786,1863,1835,"Oil on canvas, laid down on composition board",30 1/8 x 25 in. (76.5 x 63.5 cm),Paintings,"Bequest of Frederick Sturges Jr., 1977",1977.342.2
Mistress Mary Quite Contrary,Lydia Field Emmet,American,1866,1952,1891,"Graphite, ink wash, and gouache on wove paper, mounted on cardboard",7 1/2 x 10 1/4 in. (19.1 x 26 cm),Drawings,"Purchase, Barrie A. and Deedee Wigmore Foundation Gift, 1997",1997.336
Prisoners from the Front,Winslow Homer,American,1836,1910,1866,Oil on canvas,24 x 38in. (61 x 96.5cm) Framed: 36 1/2 ?50 5/8 ?4 1/2 in. (92.7 ?128.6 ?11.4 cm),Paintings,"Gift of Mrs. Frank B. Porter, 1922",22.207
Study for 'Dana?',Jack Beal,American,1931,0,1963,Oil on canvas,"H. 59-1/4, W. 58 inches (151.1 x 147.3 cm.)",Paintings,"Gift of Dr. Wesley and Carolyn Halpert, 1995",1995.546.1
"Sheep Porcupine Island, Bar Harbor, Maine, Evening Study, August 29, 1896",John La Farge,American,1835,1910,1896,Watercolor and gouache on off-white wove paper laid down on off-white wove paper.,6 3/16 x 8 7/16 in. (15.7 x 21.4 cm),Drawings,"Gift of Alice Thorp, 1953",53.190
Plaque of George Washington,After Gilbert Stuart,American,1755,1828,1830,Painted glass,8 x 5 3/8 in. (20.3 x 13.7 cm),Paintings,"Gift of William H. Huntington, 1883",83.2.107
The Conservatory,David Bates,American,1952,0,1985,Oil on canvas,"H. 96, W. 78 inches (243.8 x 198.1 cm.)",Paintings,"Purchase, Mrs. Jan Cowles, Virginia Cowles Kurtis and Charles Cowles Gifts, in memory of Gardner Cowles, 1986",1986.71
Martha Stewart Wilson,James Peale,American,1749,1831,1814,Oil on canvas,28 1/2 x 24 in. (72.3 x 61 cm),Paintings,"Gift of Mr. and Mrs. William L. McKim, 1972",1972.191
Never Before,Josef Albers,MetDoesntKnow,1888,1976,1971,Oil on Masonite,"H. 44, W. 48 inches (111.8 x 121.9 cm.)",Paintings,"Gift of the artist, 1972",1972.40.9
Lady with a Dog,Mather Brown,American,1761,1831,1786,Oil on canvas,49 1/2 x 39 1/2 in. (125.7 x 100.3 cm),Paintings,"Purchase, The Bertram F. and Susie Brummer Foundation Inc. Gift, 1964",64.129
"Celia Thaxter's Garden, Isles of Shoals, Maine",Childe Hassam,American,1859,1935,1890,Oil on canvas,17 3/4 x 21 1/2 in. (45.1 x 54.6 cm),Paintings,"Anonymous Gift, 1994",1994.567
Crossing the Williamsburg Bridge,Willie Birch,American,1942,0,1986,Gouache on paper with painted papier-m鈉h?frame (frame is part of artwork),"H. 44, W. 56-1/2 inches (111.8 x 143.5 cm.)",Drawings,"Kathryn E. Hurd Fund, 1992",1992.118.1
Esther Boardman,Ralph Earl,American,1751,1801,1789,Oil on canvas,42 1/2 x 32 in. (108 x 81.3 cm),Paintings,"Gift of Edith and Henry Noss, 1991",1991.338
[Red Building in Field],Walker Evans,American,1903,1975,1963,Tempera on panel,44.1 x 61.0 cm (17 3/8 x 24 in. ),Paintings,"Walker Evans Archive, 1994",1994.261.154
Dressing,John Koch,American,1909,1978,1956,Oil on canvas,"H. 16, W. 20 inches (40.6 x 50.8 cm.)",Paintings,"Hugo Kastor Fund, 1957",57.77
Design for hanging lantern,Louis Comfort Tiffany,American,1848,1933,0,"Colored wax crayon, gouache, and graphite on tissue paper mounted on board.",Overall: 22 1/8 x 15 in. (56.2 x 38.1 cm) Other (Design): 13 5/8 x 7 7/8 in. (34.6 x 20 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.288
Cocktails,Guy P鑞e du Bois,American,1884,1958,1945,Oil on canvas,"H. 29, W. 36 inches (73.7 x 91.4 cm.)",Paintings,"George A. Hearn Fund, 1946",46.49
Speakeasy,Glenn Coleman,American,1887,1932,1931,Oil on canvas,"H. 30, W. 25 inches (76.2 x 63.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1932",32.83.2
Dry Brook,Jervis McEntee,American,1828,1891,1888,Graphite and gouache on gray wove paper,10 5/8 x 13 15/16 in. (27 x 35.4 cm),Drawings,"Morris K. Jesup Fund, 1976",1976.179
"Apples from Dorset, Vermont",Walt Kuhn,American,1877,1949,1937,Oil on canvas,"H. 25, W. 30 inches (63.5 x 76.2 cm.)",Paintings,"Gift of Douglas Dillon, 1980",1980.238
A Gentleman of the Wilkes Family,Henry Inman,American,1801,1846,1840,Oil on canvas,12 x 10 in. (30.5 x 25.4 cm),Paintings,"Bequest of Grace Wilkes, 1922",22.45.3
Moonlight Marine,Albert Pinkham Ryder,American,1847,1917,1890,Oil and possibly wax on wood panel,11 1/2 x 12 in. (29.2 x 30.5 cm),Paintings,"Samuel D. Lee Fund, 1934",34.55
Self-portrait,Samuel Lovett Waldo,MetDoesntKnow,1783,1861,1815,Oil on wood,33 x 22 1/2 in. (83.8 x 57.2 cm),Paintings,"Amelia B. Lazarus Fund, 1922",22.217.1
Elegy Number 9 (After MH's Iron Cross),Anthony Viti,American,1961,0,1992,Oil on Masonite,"H. 11, W. 11 inches (27.9 x 27.9 cm.)",Paintings,"George A. Hearn Fund, 1993",1993.117.1
"Central Park, Winter",William James Glackens,American,1870,1938,1905,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"George A. Hearn Fund, 1921",21.164
"Lake Maggiore, May 12, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, watercolor on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1982.217.9 verso
Design for square mosaic panel,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, pen and ink, and graphite on artist board faced in original warm grey window mat",Overall: 17 7/16 x 17 3/8 in. (44.3 x 44.1 cm) Design: 9 5/16 x 9 7/8 in. (23.7 x 25.1 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.53
Design for a rose window,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, pen, ink, and graphite on white wove paper",Overall: 13 11/16 x 8 7/8 in. (34.8 x 22.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.97
Carey's Backyard,Loren MacIver,American,1909,1998,1939,Oil on canvas,"H. 36, W. 24 inches (91.4 x 61 cm.)",Paintings,"Gift of New York City W. P. A., 1943",43.47.13
"Wolf, Western Series, American Predella #5",Don Nice,American,1932,0,1975,"Two panels: a) Acrylic on canvas, b) watercolor, and graphite on paper","a)H. 50-1/4, W. 70 inches (166.4 x 177.8 cm.) b)H. 15-1/4, W. 70 inches (38.7 x 177.8 cm.) a) unframed b) frame: 15 1/4 x 70 x 1 1/2 inches (38.7 x 177.8 x 3.8 cm)",Paintings,"Gift of Anne and Joel Ehrenkranz, 1992",1992.75ab
"Design for beatitude stained glass window for Arlington Street Church, Boston",Frederick Wilson 1858-1932,MetDoesntKnow,1858,1932,1905,"Watercolor, gouache, pen and brown ink, and graphite",Overall (closed): 10 1/2 x 5 1/2 in. (26.7 x 14 cm) Overall (open): 13 5/8 x 17 1/2 in. (34.6 x 44.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.398
Rappahanock IV,Ludwig Sander,American,1906,1975,1974,Oil on canvas,"H. 44, W. 80 inches (111.8 x 203.2 cm.)",Paintings,"George A. Hearn Fund and Arthur Hoppock Hearn Fund, 1975",1975.33
Skull,Andy Warhol,American,1928,1987,1977,Acrylic and silkscreen on canvas,"H. 72, W. 80 inches (182.9 x 203.2 cm.)",Paintings,"Gift of Halston, 1981",1981.536.2
The Palm Tree,Irene de Bohus,American,1914,0,1940,Oil on canvas,"H. 24, W. 32 inches (61 x 81.6 cm.)",Paintings,"George A. Hearn Fund, 1940",40.109.1
"Purple Afternoon, London",Joseph Pennell,American,1857,1926,0,"Watercolor, gouache, and graphite on off-white wove paper",8 3/4 x 11 in. (22.2 x 27.9 cm),Drawings,"Gift of Bartlett Arkell, 1942",42.29.1
Carmelita Requena,Thomas Eakins,American,1844,1916,1869,Oil on canvas,21 x 17 in. (53.3 x 43.2 cm),Paintings,"Bequest of Mary Cushing Fosburgh, 1978",1979.135.2
Curtis Clay,James Peale,American,1749,1831,1798,Watercolor on ivory in gilded copper locket; hair reserve verso,2 11/16 x 2 3/16 in. (6.8 x 5.6 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, 2006",2006.235.132
Indian Summer,William Trost Richards,American,1833,1905,1875,Oil on canvas,24 1/8 x 20 in. (61.3 x 50.8 cm),Paintings,"Bequest of Collis P. Huntington, 1900",25.110.6
Portrait of Helen,Frederick Serger,American,1899,1965,1935,Oil on canvas,"H. 36, W. 29 inches (91.4 x 73.7 cm.)",Paintings,"The Frederick and Helen Serger Collection, Bequest of Helen Serger, in honor of William S. Lieberman, 1989",1990.274.2
Portrait of Ralph Dusenberry,Arthur Dove,American,1880,1946,1924,"Oil, folding wooden rulers, wood, and cut-and-pasted printed paper on canvas",22 x 18 in. (55.9 x 45.7 cm),Paintings,"Alfred Stieglitz Collection, 1949",49.70.36
Hills of Vermont,Aldro T Hibbard,American,1886,1972,1922,Oil on canvas,"H. 43-3/4, W. 50 inches (111.1 x 127 cm.)",Paintings,"George A. Hearn Fund, 1923",23.256.2
Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis,Charles Willson Peale,American,1741,1827,1780,Oil on canvas,50 1/8 x 40 1/4 in. (127 x 101.8 cm),Paintings,"Egleston Fund, 1922",22.153.2
Greensleeves,I.J. Belmont,American,1877,1964,1945,Oil on canvas,"H. 18, W. 24 inches (45.7 x 61 cm.)",Paintings,"Gift of Elsie K. Belmont, 1979",1979.139.2
Back Street,Frank Kleinholz,American,1901,1987,1942,Oil on canvas,"H. 30, W. 40 inches (76.2 x 101.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1942",42.166
"Wyoming Valley, Pennsylvania",Jasper Francis Cropsey,American,1823,1900,1864,Oil on canvas,15 x 24 in. (38.1 x 61 cm),Paintings,"Bequest of Collis P. Huntington, 1900",25.110.63
The Satin Tuning Fork,Yves Tanguy,MetDoesntKnow,1900,1955,1940,Oil on canvas,"H. 39, W. 32 inches (99 x 81.3 cm.)",Paintings,"Jacques and Natasha Gelman Collection, 1998",1999.363.80
Sem?,Stuart Davis,American,1892,1964,1953,Oil on canvas,52 x 40 in. (132.1 x 101.6 cm),Paintings,"George A. Hearn Fund, 1953",53.90
Puppet and Child,Sueo Serisawa,American,1910,2004,1950,Oil on canvas,"H. 40, W. 30 inches (101.6 x 76.2 cm.)",Paintings,"Alfred N. Punnet Endowment Fund, 1951",51.22.1
Self-Portrait,Marion Greenwood,American,1909,1970,1948,Oil on canvas,"H. 22-1/8, W. 20-1/8 inches (56.2 x 51.1 cm.)",Paintings,"George A. Hearn Fund, 1951",51.92
"The Wheel, St. Catherine",Jonathan Weinberg,American,1957,0,1983,Oil on canvas,"H. 60, W. 40 inches (152.4 x 101.6 cm.)",Paintings,"Edith C. Blum Fund, 1983",1983.585
