Artist_Name,Artwork_Name,Artwork_Year,Process,Dimensions,Provenance,Assension_Number,image
Claes Oldenburg,Pentacostal Cross,1961,"Muslin soaked in plaster over wire frame, painted with enamel",52 3/4 x  40 1/2 x 6 in.,"The Museum of Contemporary Art, Los Angeles
The Panza Collection",87.14,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.14&dim=300px
Bill Owens,This is our outdoor garage sale... last minute kids&#039; items for Christmas shoppers.,1972,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.24,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.24&dim=300px
Catherine Opie,Untitled #8,1997,"Iris print, edition of 5","16 x 41 in. (40.6 x 104.1 cm)
Frame: 26 1/2 x 51 3/8 in. (67.3 x 130.5 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Bank Emerging Artists Award, 1997",97.186,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.186&dim=300px
Albert Oehlen,Badly Painted Souls,1997,Oil on canvas,56 3/8 x 94 1/2 in. (143.2 x 240 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Robert B. Egelston",98.67,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.67&dim=300px
Robert Overby,"Drawer door, second floor from the Barclay House",1971,Latex rubber,7 1/4 x 15 1/4 in. (18.4 x 38.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Brenda R. Potter and Michael C. Sandler",2002.62,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.62&dim=300px
Arthur Ollman,"AO81 (San Francisco, Tut&#039;s Tent #3)",1979,"Ektachrome print, edition 2/35",12 5/8 x 19 in. (32.1 x 48.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",87.63,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.63&dim=300px
Rubi Neri,Untitled (California Landscape),2000,"Airbrushed watercolor, ink and pencil on paper",45 1/8 x 57 in. (114.6 x 144.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sam and Shanit Schwartz",2004.286,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.286&dim=300px
Cady Noland,"Airline Disaster.
Photo: Georges Beutter/SIPA Press , 0",0,Black and white photostat,21 3/4 x 24 in. (55.2 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",92.80.12,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.12&dim=300px
Brice Marden,Yana 2,1970,"Silkscreen, edition of 11","Paper: 12 1/2 x 16 1/2 in. (31.8 x 41.9 cm)
Frame: 20 1/2 x 24 1/4 in. (52.1 x 61.6 cm)","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",81.18,http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.18&dim=300px
Ree Morton,Too Beautiful (Run from the Infatuated River... too Bewildered to Escape),1975,"Crayon, graphite, and watercolor on shaped paper",30 x 41 1/2 in. (76.2 x 105.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Gene J. Burton Acquisitions Endowment",2001.40,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.40&dim=300px
Christian Marclay,Shake Rattle and Roll (Fluxmix),2004,Video installation with 16 DVDs and 16 monitors,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Wonmi and Kihong Kwon in honor of Audrey Irmas",2006.90,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.90&dim=300px
Mario Merz,Alligator Ensemble,1989,"Stuffed alligator, neon numbers, glass, transformers, and steel frame",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of Jay Chiat",2003.55,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.55&dim=300px
Richard Diebenkorn,Untitled (from the Ocean Park Series),1977,"Gouache, pasted paper, and crayon on paper","Paper: 24 3/4 x 18 3/4 in. (62.9 x 47.6 cm)
Frame: 31 x 25 x 1 in. (78.7 x 63.5 x 2.5 cm)","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",96.109,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.109&dim=300px
Paul McCarthy,Masks (Monkey Inside Out),1994,"Cibachrome print, edition 2/3",72 x 48 in. (182.9 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",2004.170,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.170&dim=300px
Ana Mendieta,Silueta Works in Mexico,1973,"Color photograph, edition of 20",Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation",97.119.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.1&dim=300px
Joan Miro,Les Orfevres,1971,Hand-colored mono-etching,35 3/4 x 24 1/2 in. (90.8 x 62.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Kenneth T. Carey",83.30,http://www.moca.org/museum/pc_media_viewer.php?acsnum=83.30&dim=300px
Robert Mangold,Red/Green/Yellow + Painting,1983,Acrylic and graphite with steel bar on canvas,96 x 96 x 1 3/8 in. (243.8 x 243.8 x 3.5 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.62,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.62&dim=300px
Michael Mazur,Palmetto,1975,Pastel on paper,77 x 96 in. (195.6 x 243.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Jim Dine",82.36,http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.36&dim=300px
Cady Noland,"Patty &amp; Flower Girls, Cheerleader Feet.",1991,"Silkscreen on paper, edition 1/1",32 1/4 x 44 in. (81.9 x 111.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",92.80.6,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.6&dim=300px
Mark Niblock-Smith,Silent Tear,1992,"Steel, glass, crystal, beads, and chains",55 x 9 x 57 in. (139.7 x 22.9 x 144.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Nowell J. Karten, Roger Workman and Ruth Bloom Gallery",93.19,http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.19&dim=300px
Rubén Ortiz Torres,"El Rey Feo, San Antonio, Texas",1999,"Dye Coupler Photograph on Fujiflex Super Glossy Color paper, edition 2/20",Paper: 20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist and The Jan Kesner Gallery",2000.56,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.56&dim=300px
Dennis Oppenheim,Exit for the South Bronx,1979,"Wood, fiberglass, steel, masonite",36 1/2 x 20 1/2 x 103 in. (92.7 x 52.1 x 261.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Warner Communications",82.5,http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.5&dim=300px
Robert Overby,"East Hall Wall, Third Floor (Grey Wall) , 0",0,Latex rubber,104 x 186 1/2 in. (264.2 x 473.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Acquisition and Collection Committee, 2000",2000.52,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.52&dim=300px
Claes Oldenburg,Sponge,1963,Painted plaster,5 x 9 x 7 in. (12.7 x 22.9 x 17.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.82,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.82&dim=300px
Claes Oldenburg,The Letter Q on site - Akron,1974,"Charcoal, chalk on paper",30 x 38 3/4 in. (76.2 x 98.4 cm),"The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",96.149,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.149&dim=300px
Richard Prince,Untitled (Living Rooms),1977,"Four Ektacolor prints, edition 8/10","Each: 20 x 24 in. (50.8 x 61 cm)
Frame: 23 x 31 x 1 1/2 in. (58.4 x 78.7 x 3.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal Agency, and Councilman Joel Wachs",89.29,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.29&dim=300px
Bill Owens,I put it off until I can&#039;t stand it anymore.  THe rottenest job in the whole house is cleaning the bathroom.,1972,Gelatin silver print,Paper: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.35,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.35&dim=300px
Max Yavno,Man in Front of Display,1947,Gelatin silver print,"20 x 15 in. (50.8 x 38.1 cm)
Image: 9 5/8 x 7 5/8 in. (24.4 x 19.4 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.68,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.68&dim=300px
Allen Ruppersberg,Reading Time: 175 Hrs. 32 Min. 10 Sec.,1981,Graphite on paper,20 x 24 in.,"The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick",91.61,http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.61&dim=300px
Arnulf Rainer,Untitled (Schreckversteck),1974,Drypoint over photogravure; edition 2/50,27 1/2 x 20 3/4 in. (69.9 x 52.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Tina Petra and Kenneth Wong",97.115,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.115&dim=300px
Paul Sietsema,Disrupted Space Drawing (White History),2003,Cut photographs and tape,"Frame: 21 1/8 x 30 3/4 x 1 1/2 in. (53.7 x 78.1 x 3.8 cm)
20 5/8 x 30 1/4 in. (52.4 x 76.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee",2005.32.1,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.32.1&dim=300px
David Salle,A Long Life,1981,Acrylic on canvas,86 x 112 in. (218.4 x 284.5 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.80,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.80&dim=300px
Tony Smith,Equinox,1968,"Welded steel painted black, A.P.",30 x 43 x 42 in. (76.2 x 109.2 x 106.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lois Kline Coleman",98.48,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.48&dim=300px
Julian Schnabel,Giacomo Expelled from the Temple,1976,Oil on canvas,83 3/4 x 90 1/2 in. (212.7 x 229.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.95,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.95&dim=300px
Andres Serrano,Crucifixion,1987,"Cibachrome print, edition 9/10",47 1/2 x 32 in. (120.7 x 81.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Mandy and Cliff Einstein",98.45,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.45&dim=300px
Peter Shelton,Snake,1983,Cement and steel,2 1/4 x 2 1/4 x 332 in. (5.7 x 5.7 x 843.3 cm),"The Museum of Contemporary Art, Los Angeles
The El Paso Natural Gas Company Fund for California Art",86.54,http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.54&dim=300px
Frank Stella,Mysterious Bird of Ulieta from the Exotic Bird Series,1977,"30 color lithograph/screenprint, edition 21/50",33 7/8 x 45 7/8 in. (86 x 116.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of  David Gensburg",82.12.5,http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.12.5&dim=300px
David Thorpe,Sheltered Plant,2005,Watercolor and pencil on paper,40 x 27 1/2 in. (101.6 x 69.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee",2006.3,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.3&dim=300px
Mark Tobey,Lake,1959,Gouache on paper,9 3/4 x 12 3/8 in. (24.8 x 31.4 cm),"The Museum of Contemporary Art, Los Angeles
The Rita and  Taft Schreiber Collection
Given in loving memory of her husband, Taft Schreiber, by Rita Schreiber",89.27,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.27&dim=300px
Amelie von Wulffen,Untitled (Asnieres II),2003,Acrylic and photograph on paper,22 x 30 in. (55.9 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Scott D. F. Spiegel Endowment Fund",2004.2,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.2&dim=300px
Lawrence Weiner,EGG &amp; ARROW,1989,"Pen, watercolor, pencil, cut-outs, stamp on paper","Frame: 35 3/4 x 28 3/4 in. (90.8 x 73 cm)
Paper: 25 1/2 x 19 1/2 in. (64.8 x 49.5 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Patrick Painter and Soo Jin Jeong Painter",2005.96.2,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.96.2&dim=300px
Guo Yilin,No. 1,2006,"Color photograph, Edition 6/8",21 x 31 in. (53.3 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",2007.45,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.45&dim=300px
Art and Language,"Failed Town Planning, Book Review, print from &quot;Incidents in a Museum Series&quot;",1987,"Offset lithograph, edition 1/10",30 3/4 x 42 1/2 in. (78.1 x 108 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Guy Lemaster",2003.14,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.14&dim=300px
Kevin Appel,House: South View from Court,1999,Acrylic on canvas over panel,80 x 162 3/4 in. (203.2 x 413.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Citibank Private Banking Emerging Artist Award, 1999",99.33A-B,http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.33A-B&dim=300px
Joe Zucker,No Fault,1981,"Acrylic, cotton, rhoplex, on canvas","5 x 6 x 16 in. (12.7 x 15.2 x 40.6 cm)
Each: 5 x 6 x 8 in. (12.7 x 15.2 x 20.3 cm)","The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by The Isak and Rose Weinman Foundation",95.78,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.78&dim=300px
Andrea Zittel,A to Z Breeding Unit: For Averaging Eight Breeds,1993,"Steel, wool, glass and electronics",72 x 171 x 18 in. (182.9 x 434.3 x 45.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Donatella and Jay Chiat",94.8,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.8&dim=300px
Jack Pierson,Berlin,1992,"Ektacolor print, edition of 3",30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs in memory of Marsha Kleinman",95.11,http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.11&dim=300px
Izhar Patkin,One George,1987,Collage and perforated paper,24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Morton/Donnelley Trust",94.22,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.22&dim=300px
Nam June Paik,"Untitled , 0",0,Graphite (two superimposed pieces) on paper,Paper: 11 x 13 3/4 in. (27.9 x 34.9 cm),"Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services.",2008.51,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.51&dim=300px
Richard Prince,Untitled (Man Holding Woman from Sunset Series),1981,"C-print, edition 2/10",Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Fred and Winter Hoffman in memory of Stuart Regen",98.40,http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.40&dim=300px
Bill Owens,"This isn&#039;t what we really want - the tract house, the super car, etc.... But as long as we are wound up in this high speed environment, we will probably never get out of it!  We don&#039;t need the super car to be happy; (SEE NOTES SECTION FOR COMPLETE TITLE)",1972,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",2004.69.21,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.21&dim=300px
Catherine Opie,Ice House #9,2001,"Fuji dye-coupler print on sintra, A.P.",50 x 40 in. (127 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Chip and Lara Leavitt",2003.124,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.124&dim=300px
Christopher Orr,Of Both Worlds,2004,Oil on linen,7 1/2 x 9 1/2 in. (19.1 x 24.1 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",2004.86,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.86&dim=300px
Arthur Ollman,"AO6 (San Francisco, Seawall)",1978,"Ektachrome print, edition 19/35",13 3/4 x 19 in. (34.9 x 48.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",87.62,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.62&dim=300px
Cady Noland,12&#039;1&quot; Barricade.,1992,Corrugated metal and frame,42 1/8 x 145 x 4 in. (107 x 368.3 x 10.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",92.80.10,http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.10&dim=300px
Ernesto Neto,Cometoplasmapylea,2004,"Lycra, tulle, and Styrofoam pellets",98 x 67 x 3 in. (248.9 x 170.2 x 7.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",2004.104,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.104&dim=300px
Brice Marden,Fass,1969,Oil and beeswax on fabric,53 1/2 x 70 1/2 in. (135.9 x 179.1 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.65,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.65&dim=300px
Jerry McMillan,California,1978,Sulfide duotone of black and white photograph,20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Jonathan Starr",85.112,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.112&dim=300px
Michael Minelli,Untitled (Dr. Death),2001,"Photographs, paint pen, and magic marker on paper",38 x 38 in. (96.5 x 96.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas",2003.69,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.69&dim=300px
Gerhard Merz,Elfenbeinschwarz,1987,Twenty-two pigment paintings,Each: 39 1/4 x 39 1/4 in. (99.7 x 99.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Emily and Jerry Spiegel",93.21.1-.22,http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.21.1-.22&dim=300px
Joan Miro,Personnages Dans la Nuit,1950,Oil on burlap,35 x 45 3/8 in. (88.9 x 115.3 cm),"The Museum of Contemporary Art, Los Angeles
The Rita and Taft Schreiber Collection
Given in loving memory of her husband, Taft Schreiber, by Rita Schreiber",89.21,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.21&dim=300px
Ana Mendieta,Silueta Works in Mexico,1973,"Color photograph, edition of 20",Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation",97.119.2,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.2&dim=300px
Conrad Marca-Relli,Figure,1957,Oil on canvas and collage on canvas,67 1/2 x 54 1/4 in. (171.5 x 137.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.68,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.68&dim=300px
Karin Mamma Andersson,Fatherland,1997,Oil on panel,24 x 96 1/2 in. (61 x 245.1 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",2004.38A-C,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.38A-C&dim=300px
Nick Mauss,Moment Figure,2005,Colored pencil on paper,21 x 17 in. (53.3 x 43.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist and Daniel Reich Gallery",2005.57,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.57&dim=300px
Christian Marclay,Telephones,1995,"VHS, edition of 250",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of Vivian and Hans Buehler",2004.110,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.110&dim=300px
Brice Marden,Drawing for Sarah,1973,"Collage, graphite and wax on paper",30 1/2 x 22 1/4 in. (77.5 x 56.5 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.67,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.67&dim=300px
Ernesto Neto,"Three Religions, No God and the Children",2003,"Textile, polyurethane foam, rocks, polypropylene pellets, beans, corn, rice, Styrofoam pellets, chamomile, lavender, and oregano",132 x 294 x 294 in. (335.3 x 746.8 x 746.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Jumex Fund for Contemporary Latin American Art in honor of Esthella Provas",2004.4,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.4&dim=300px
Peter Nagy,Overwhelmed by the Imagination,1998,Color photograph,23 1/2 x 17 1/2 in. (59.7 x 44.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas",2001.125.4,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.4&dim=300px
Claes Oldenburg,Coosje van Bruggen,0,"Knife/Ship II , 1986","Wood, steel, aluminum, painted with polyurethane enamel",35 1/2 x 83 x 31 3/4 ft.,"The Museum of Contemporary Art, Los Angeles
Gift of GFT (U.S.A.) CORP., a company of Gruppo GFT, with arrangements by the Rivetti Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.72&dim=300px
Claes Oldenburg,White Gym Shoes,1962,"Muslin soaked in plaster over wire frame, painted with enamel",24 x 24 x 10 in. (61 x 61 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Collection",87.11,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.11&dim=300px
Chloe Piene,Sleeper 02 (Vintage Hat),2005,Charcoal on vellum,48 3/4 x 35 in. (123.8 x 88.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee",2005.53,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.53&dim=300px
Jack Pierson,The Call Back,1992,"Ektacolor print, edition of 3",40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",93.18,http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.18&dim=300px
Art and Language,Sighs Trapped by Liars,1996,Photocopy on paper and acrylic on canvas,11 3/4 x 16 3/4 in. (29.8 x 42.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Guy Lemaster",2003.11,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.11&dim=300px
Max Yavno,View from Twin Peaks,1947,Gelatin silver print,"16 x 20 in. (40.6 x 50.8 cm)
Image: 7 1/4 x 13 3/8 in. (18.4 x 34 cm)","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection",89.35.109,http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.109&dim=300px
Henry Wessel,"Tucson, Arizona",1974,Gelatin silver prints,10 x 15 in. (25.4 x 38.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind",87.65.19,http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.65.19&dim=300px
Lawrence Weiner,Fermented (cat. 082),1969,Language and the material reffered to,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of John Baldessari and Denise Spampinato",97.187,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.187&dim=300px
Bernar Venet,Position of 3 Major Arcs of 214.5 Degrees Each,1979,Acrylic on wood,120 x 180 in. (304.8 x 457.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Aimery Langlois-Meurinne",86.5,http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.5&dim=300px
Robert Therrien,No Title,1986,Enamel on metal and silver on brass,41 x 46 x 13 1/2 in. (104.1 x 116.8 x 34.3 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.84,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.84&dim=300px
Tony Tasset,Display Sculpture (With Thirty-Two Variations),1988,"Wood, paint, and plexiglas",38 1/2 x 68 x 36 in. (97.8 x 172.7 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Feature",93.48,http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.48&dim=300px
Frank Stella,Irving Blum Memorial Edition,1967,Lithograph on paper,Frame: 28 x 33 x 1 1/2 in. (71.1 x 83.8 x 3.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve",2008.84,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.84&dim=300px
Peter Shelton,TUBEpipe,1986,Cast iron and steel,38 x 85 x 11 in. (96.5 x 215.9 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
The Panza Gift",94.77A-B,http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.77A-B&dim=300px
Mitchell Syrop,Lift and Separate,1984,Black and white photographs mounted on board,Each (9 panels): 24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Clayton M. Press, Jr. and Gregory B. Linn",96.83,http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.83&dim=300px
David Salle,Brother Animal,1983,Oil and acrylic on canvas with wood chairs,94 1/2 x 168 1/2 in. (diptych),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",85.81,http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.81&dim=300px
Charles Ray,Tabletop,1989,"Wood table with ceramic plate, metal canister, plastic bowl, plastic tumbler, aluminum shaker, terracotta pot with synthetic plant, motors",43 x 52 1/2 x 35 in. (109.2 x 133.4 x 88.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",97.87,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.87&dim=300px
Susan Rankaitis,Ring Study #2,1987,Mixed media photograph,20 x 24 in. (50.8 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",97.144.12,http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.12&dim=300px
Allen Ruppersberg,The Evil Dead,1986,Graphite on paper,29 x 23 in. (73.7 x 58.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn",2000.102,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.102&dim=300px
Paul Sietsema,Untitled (Beautiful Place),1998,"16mm film in black & white and color without sound, edition 1/5, 2 APs",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of Shaun Caley Regen in memory of Stuart Regen",2006.173,http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.173&dim=300px
