Artistname,Nationality,birthYear,Titleofartwork,deathYear,Typeofartwork,Dimensions,Credit,Accessionid,ImageURL
Benjamin Burt,American,1729,"Communion Dish, 1781",1805,Silver,"33.2 x 3.8 cm (13 1/16 x 1 1/2 in.)
Marked near center on underside of bowl: ""B.BURT"" (in rectangle)","; engraved around rim of dish: a cherub's head and the words ""The Legacy of the Honble ISAAC ROYALL ESQ. to the CHURCH OF CHRIST in Medford 1781.""

Gift of the Antiquarian Society",1989.65,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83415_383151.jpg
Emil Carlsen,American,1853,"Connecticut Hillside, c. 1920",1932,Oil on canvas,74.3 x 69.5 cm (29 1/4 x 27 3/8 in.),Walter H. Schulze Memorial Collection,1930.350,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/7425_623003.jpg
Ammi Phillips,American,1788,"Cornelius Allerton, 1821/22",1865,Oil on canvas,83.8 x 69.9 cm (33 x 27 1/2 in.),Gift of Robert Allerton,1946.394,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000074/114832_628153.jpg
Boston & Sandwich Glass Company Sandwich,Massachusetts,1825,"Covered Dish, 1835/40",1888,Pressed glass,12.7 x 26.7 x 22.2 cm (5 x 10 1/2 x 8 3/4 in.),Through prior gift of Emily Crane Chadbourne,2011.46,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173698_1342298.jpg
New England Glass Company,American,1818,"Covered Sugar Bowl, 1820/30",1888,Pressed glass,13 x 12.4 x 9.8 cm (5 1/8 x 4 7/8 x 3 7/8 in.),Gift of the Antiquarian Society through Quinn E. Delaney,1995.40a-b,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83398_382949.jpg
Georgia O'Keeffe,American,1887,"Cow's Skull with Calico Roses, 1931",1986,Oil on canvas,91.4 x 61 cm (36 x 24 in.),Alfred Stieglitz Collection gift of Georgia O'Keeffe,1947.712,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/131385_1357734.jpg
Sanford Robinson Gifford,American,1823,"Cows in a Pond at Sunset, 1860",1880,Oil on canvas,19.1 x 35.9 cm (7 1/2 x 14 1/8 in.),"signed lower left in wet paint: ""SR Gifford '60""

Through prior acquisition from the Charles H. and Mary F.S. Worcester Collection",1988.317,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/5563_354539.jpg
Bancroft Woodcock,American,1732,"Cream Pot, 1765/75",1817,Silver,10.8 x 5.7 cm (diam. at base) (4 1/4 x 2 1/4 in.),"Stamped on bottom in Roman capitals ""B. WOODCOCK"" in a rectangle conforming to letter shapes

Gift of the Antiquarian Society",1978.138,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4647_761160.jpg
Winslow Homer,American,1836,"Croquet Scene, 1866",1910,Oil on canvas,40.3 x 66.2 cm (15 7/8 x 26 1/16 in.),"Signed lower right: ""WINSLOW HOMER/-66-""

Friends of American Art Collection; Goodman Fund",1942.35,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/171650_1368515.jpg
George Inness,American,1825,"Crossing the Ford, 1848",1894,Oil on canvas,57.2 x 62.2 cm (22 1/2 x 24 1/2 in.),"Signed on reverse of canvas: ""Geo. Inness 1848""

Gift of Mrs. Edith Kepke MacDonald",1977.487,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4552_1171344.jpg
Edward Warren Sawyer,American,1876,"Curley-Custer Scout-Crow.Crow Agency.Montana.1912, 1912",1932,Bronze,7 cm (2 3/4 in.),Gift of Edward E. Ayer,1913.639,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/399_357931.jpg
Paul Manship,American,1885,"Dancer and Gazelles, 1916",1966,"Bronze
h.","78.7 cm (31 in.)
base: 84.5 x 25.4 cm (33 1/4 x 10 in.)","Inscribed: ""Paul Manship c 1916""

Friends of American Art Collection",1916.444,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/37039_1171284.jpg
Toshiko Takaezu,American,1922,"Dancing Brush, 1990",2011,Glazed stoneware,91.4 x 55.9 cm (42 1/2 x 22 in.),Gift of Toshiko Takaezu,2006.240,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55370_1181834.jpg
John Singleton Copley,American,1738,"Daniel Hubbard, 1764",1815,Oil on canvas,127.2 x 100.8 cm (50 1/8 x 39 11/16 in.),"Signed on base of column: ""John S. Copley pinx. 1764""

The Art Institute of Chicago Purchase Fund",1947.27,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000067/2605_587385.jpg
Thomas Ball,American,1819,"Daniel Webster, modeled and cast 1853",1911,Bronze,76.2 x 30.4 x 27.9 cm (30 x 12 x 11 in.),"Incised at back of drapers: ""T Ball Sculpt/Boston Mass/1853/Patent assigned to / C W Nichols""

Gift of Richard and Mary L. Gray",1986.1347,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000116/5316_1163604.jpg
Attributed to Felix Huntington,American,1749,"Desk, 1775/1790",1823,Mahogany zebrawood and white pine,109.8 x 112.5 x 56 cm (43 1/4 x 44 1/4 x 22 in.),Gift of the Antiquarian Society through the Jessie Spalding Landon Fund,1948.122,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/83421_1354777.jpg
Frank Lloyd Wright,American,1867,"Desk, 1908",1959,Oak,144.9 x 102 x 60.6 cm (57 x 40 1/8 x 23 7/8 in.),Restricted gift of the Graham Foundation for Advanced Studies in the Fine Arts,1972.304,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4322_762498.jpg
Attributed to R. J. Horner and Company,American,1886,"Desk, c. 1880",1915,Maple and bird's-eye maple,174.6 x 46.4 x 43.8 cm (68 3/4 x 17 1/2 x 16 1/2 in.),Quinn E. Delaney fund,2003.10,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000045/94002_475509.jpg
Designed by Frank Lloyd Wright,American,1867,"Desk, 1937/39",1959,Painted steel tubing maple work surface with later laminated surface,96.5 x 212.7 x 138.8 cm (38 x 83 3/4 x 54 5/8 in.),Gift of the Johnson Wax Company,1972.310,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4323_762522.jpg
Ladislaus Zdzieblowski,American,1857,"Desk and Bookcase, 1893",1929,Oak,190.5 x 149.8 x 67.3 cm (75 x 59 x 26 1/2 in.),Gift of the family of Irene M. Groenier in her memory,1989.439,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/172726_1332987.jpg
Frederick W. Macmonnies,American,1863,"Diana, modelled 1889, cast after 1900",1937,Bronze,76.2 x 50.8 x 48.3 cm (30 x 20 x 19 in.),Roger McCormick Fund,1982.271,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4965_728237.jpg
Thomas Cole,American,1801,"Distant View of Niagara Falls, 1830",1848,Oil on panel,47.9 x 60.6 cm (18 7/8 x 23 7/8 in.),"Signed lower right: ""Thomas Cole / 1830""

Friends of American Art Collection",1946.396,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000081/10141_672686.jpg
Ivan Albright,American,1897,"Divided and Divided, 1941",1983,Oil on canvas,68.6 x 106.7 cm (27 x 42 in.),"Signed lower left: Ivan Le Lorraine Albright

Gift of Ivan Albright",1977.31,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4537_728213.jpg
Arthur Dove,American,1880,"Dogs Chasing Each Other, 1929",1946,Oil on canvas,45.4 x 54.3 cm (17 7/8 x 21 3/8 in.),Alfred Stieglitz Collection,1949.536,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/2751_354637.jpg
Ivan Albright,American,1897,"Dorian Gray, 1945",1983,Gouache on silk,41.9 x 7.6 cm (16 1/2 x 3 in.),Gift of Mr. and Mrs. Joseph Randall Shapiro,1996.389,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/6144_1301227.jpg
Cecilia Beaux,American,1855,"Dorothea and Francesca, 1898",1942,Oil on canvas,203.5 x 116.8 cm (80 1/8 x 46 in.),"Signed lower left: ""Cecilia Beaux""

A. A. Munger Collection",1921.109,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169441_1299303.jpg
Boston and Sandwich Glass Company,American,1825,"Double-Plated Lamp, c. 1865",1888,"Cobalt blue opaque white and clear glass gilt bronze and marble
h:",97.8 cm (38 1/2 in.),"to top of shade

The Mrs. Maurice H. Mandelbaum Collection",1994.5,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6030_762414.jpg
Henry Benbridge,American,1743,"Dr. Jonathan Potts (1745-1781), 1770/76",1812,Oil on canvas,61.6 x 48.9 cm (24 1/4 x 19 1/4 in.),Allan and Sallie Bulley Fund,1990.484,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/5707_355458.jpg
George Inness,American,1825,"Early Morning, Tarpon Springs, 1892",1894,Oil on canvas,107.2 x 82.2 cm (42 1/8 x 32 3/8 in.),"Signed lower left: ""G. Inness 1892""

Edward B. Butler Collection",1911.32,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000116/373_1164114.jpg
Toby Edward Rosenthal,American,1848,"Elaine, 1874",1917,Oil on canvas,97.9 x 158.8 cm (38 9/16 x 62 1/2 in.),"Signed lower right: ""Toby E. Rosenthal Munich. 1874""

Gift of Mrs. Maurice Rosenfeld",1917.3,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/437_1345331.jpg
Frederic Remington,American,1861,"Fire-Eater Raised His Arms, c. 1900",1909,Oil on canvas,69.2 x 102.6 cm (27 1/4 x 40 3/8 in.),George F. Harding Collection,1982.787,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4990_625039.jpg
Shepard Alonzo Mount,American,1804,"Fish, 1842",1868,Oil on panel,17.2 x 27.3 cm (6 3/4 x 10 3/4 in.),Restricted gift of Charles C. Haffner III,1985.239,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5220_623323.jpg
Frederic Remington,American,1861,"First and Best Camp of the Trip, 1895",1909,Oil on canvas,68.9 x 102.6 cm (27 1/8 x 40 3/8 in.),George F. Harding Collection,1982.788,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4991_1490388.jpg
Ivan Albright,American,1897,"Flesh, 1928",1983,Oil on canvas,91.4 x 61 cm (36 x 24 in.),"Signed 1.r.: Ivan Le Lorraine Albright.

Gift of Ivan Albright",1969.814,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4160_623545.jpg
George Hitchcock,American,1850,"Flower Girl in Holland, 1887",1913,Oil on canvas,79.1 x 147.3 cm (31 1/8 x 58 in.),"Signed lower left: ""Geo. Hitchcock op. XXXV 1-8-8-7""

Potter Palmer Collection",1888.169,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171649_1321650.jpg
Milton Avery,American,1885,"Flowers and Lamp, 1942",1965,Oil on canvas,71.1 x 91.4 cm (28 x 36 in.),Mary and Earle Ludgin Collection,1981.258,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4849_728021.jpg
Georgia O'Keeffe,American,1887,"From a Day with Juan IV, 1977",1986,Oil on canvas,121.9 x 91.4 cm (48 x 36 in.),Alfred Stieglitz Collection bequest of Georgia O'Keeffe,1987.250.4,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5446_623197.jpg
Hannah Brown Skeele,American,1829,"Fruit Piece, 1860",1901,Oil on canvas,50.8 x 60.6 cm (20 x 23 7/8 in.),Restricted gifts of Charles C. Haffner III Mrs. Harold T. Martin Mrs. Herbert A Vance and Mrs. Jill B. Zeno; through prior acquisition of the George F. Harding Collection,2001.6,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7048_359696.jpg
William Rush,American,1756,"General Andrew Jackson, 1819",1833,Terracotta,50.5 x 47.9 x 22.2 cm (19 7/8 x 18 7/8 x 8 3/4 in.),Restricted gift of Jamee J. and Marshall Field the Brooks and Hope B. McCormick Foundation and the Bessie Bennett W. G. Field Ada Turnbull Hertle Laura T. Magnuson and Major Acquisitions funds,1985.251,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5223_760608.jpg
Charles Spencer Humphreys,American,1818,"George Franklin Archer and the Archer Residence, 1871",1880,Oil on canvas,62.2 x 76.5 cm (24 1/2 x 30 1/8 in.),"Signed lower right by impression in point: ""Chas. S. Humphries. 1871""

Through prior acquisition of the George F. Harding Collection",1987.43,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169405_1298989.jpg
Arthur B. Davies,American,1862,"Golden Sea Garden, c. 1912",1928,Oil on canvas,43.5 x 54.3 cm (16 3/8 x 21 3/8 in.),George F. Porter Collection,1927.305,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/1491_623743.jpg
Georgia O'Keeffe,American,1887,"Green Mountains, Canada, 1932",1986,Oil on canvas,30.5 x 91 cm (12 x 36 in.),Alfred Stieglitz Collection gift of Georgia O'Keeffe,1956.365,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/3269_760716.jpg
James McNeill Whistler,American,1834,"Grey and Silver: Old Battersea Reach, 1863",1903,Oil on canvas,50.8 x 68.6 cm (20 x 27 in.),"Signed lower left: ""Whistler 63""

Gift of Honor?and Potter Palmer",1922.449,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/166067_1378332.jpg
