technique,provenance,title,imageUrl,dimensions,artist,accessionId,url
Pencil on paper.,Anonymous Gift,"Landscape, Meadow, House on a Hill",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5CMeadow+House%2Ejpg,"4½  x 6½""",Edward Mitchell Bannister,AF198212.6.9,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=10
Pencil on paper.,Anonymous Gift,"Oxen, Cart and Two figures",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBannister%5COxen%2Ejpg,"8½ x 5¼""",Edward Mitchell Bannister,AF198212.6.5,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edward+Mitchell+Bannister&whereclause=where+maker%3D%27Edward+Mitchell+Bannister%27+OR+cleanmaker%3D%27Edward+Mitchell+Bannister%27+OR+maker1%3D%27Edward+Mitchell+Bannister%27+OR+maker2%3D%27Edward+Mitchell+Bannister%27+OR+maker3%3D%27Edward+Mitchell+Bannister%27+OR+maker4%3D%27Edward+Mitchell+Bannister%27+OR+maker5%3D%27Edward+Mitchell+Bannister%27&current_record=11
Oil on canvas,Gift of M. Earl and Flora C. Grant,The Old Servant,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COld+Servant%2Ejpg,"27½ x 24½ x ¾""",Edwin Augustus Harleston,AF19902.16,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Edwin+Augustus+Harleston&whereclause=where+maker%3D%27Edwin+Augustus+Harleston%27+OR+cleanmaker%3D%27Edwin+Augustus+Harleston%27+OR+maker1%3D%27Edwin+Augustus+Harleston%27+OR+maker2%3D%27Edwin+Augustus+Harleston%27+OR+maker3%3D%27Edwin+Augustus+Harleston%27+OR+maker4%3D%27Edwin+Augustus+Harleston%27+OR+maker5%3D%27Edwin+Augustus+Harleston%27&current_record=1
Photomechanical reproduction,Gift of Robert A. Grimm,Le Monde Diplomatique - Fevrier 1977,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPosters%5CCleaver%2Ejpg,"19"" H x 25"" W","Eldridge Cleaver Legal Defense Fund, Jean Plantu (animation)",2000.11,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29&whereclause=where+maker%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+cleanmaker%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker1%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker2%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker3%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker4%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27+OR+maker5%3D%27Eldridge+Cleaver+Legal+Defense+Fund%2C+Jean+Plantu+%28animation%29%27&current_record=1
Gold-toned gelatin silver print,Gift of Alice Weston,"Conversation (Africa II: The Turkana, Kenya)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSunday%5FConversation%2Ejpg,"21.75"" x 17.25"" W",Elisabeth Sunday,2007.15,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elisabeth+Sunday&whereclause=where+maker%3D%27Elisabeth+Sunday%27+OR+cleanmaker%3D%27Elisabeth+Sunday%27+OR+maker1%3D%27Elisabeth+Sunday%27+OR+maker2%3D%27Elisabeth+Sunday%27+OR+maker3%3D%27Elisabeth+Sunday%27+OR+maker4%3D%27Elisabeth+Sunday%27+OR+maker5%3D%27Elisabeth+Sunday%27&current_record=1
Photograph,Gift of Wayne & Shelby Kostman,Collection of historic photographs,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKOSTMAN%5CE4%2EBMP,"6¾ x 9¾""",Elite Studios,AF19981.2.E4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elite+Studios&whereclause=where+maker%3D%27Elite+Studios%27+OR+cleanmaker%3D%27Elite+Studios%27+OR+maker1%3D%27Elite+Studios%27+OR+maker2%3D%27Elite+Studios%27+OR+maker3%3D%27Elite+Studios%27+OR+maker4%3D%27Elite+Studios%27+OR+maker5%3D%27Elite+Studios%27&current_record=1
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Dream Dancing [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11e%2Ejpg,"Diameter: 12""",Ella Fitzgerald,SPAF19995.13.11e,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald&whereclause=where+maker%3D%27Ella+Fitzgerald%27+OR+cleanmaker%3D%27Ella+Fitzgerald%27+OR+maker1%3D%27Ella+Fitzgerald%27+OR+maker2%3D%27Ella+Fitzgerald%27+OR+maker3%3D%27Ella+Fitzgerald%27+OR+maker4%3D%27Ella+Fitzgerald%27+OR+maker5%3D%27Ella+Fitzgerald%27&current_record=1
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Fine and Mellow [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11f%2Ejpg,"Diameter: 12""",Ella Fitzgerald,SPAF19995.13.11f,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald&whereclause=where+maker%3D%27Ella+Fitzgerald%27+OR+cleanmaker%3D%27Ella+Fitzgerald%27+OR+maker1%3D%27Ella+Fitzgerald%27+OR+maker2%3D%27Ella+Fitzgerald%27+OR+maker3%3D%27Ella+Fitzgerald%27+OR+maker4%3D%27Ella+Fitzgerald%27+OR+maker5%3D%27Ella+Fitzgerald%27&current_record=2
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Montreux '77 [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11a%2Ejpg,"Diameter: 12""",Ella Fitzgerald with the Tommy Flanagan Trio,SPAF19995.13.11a,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio&whereclause=where+maker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+cleanmaker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker1%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker2%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker3%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker4%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker5%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27&current_record=1
"vinyl LP record, paper album sleeve, plastic cover",Museum purchase,Montreux '77 [test pressing],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E13%2E11b%2Ejpg,"Diameter: 12""",Ella Fitzgerald with the Tommy Flanagan Trio,SPAF19995.13.11b,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio&whereclause=where+maker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+cleanmaker%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker1%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker2%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker3%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker4%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27+OR+maker5%3D%27Ella+Fitzgerald+with+the+Tommy+Flanagan+Trio%27&current_record=2
mixed media collage,Gift of Elliott Pinkney,Stop The Shooting,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPinkney%5FStopShooting+copy%2Ejpg,"34"" H x 48"" W",Elliott Pinkney,2008.10,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elliott+Pinkney&whereclause=where+maker%3D%27Elliott+Pinkney%27+OR+cleanmaker%3D%27Elliott+Pinkney%27+OR+maker1%3D%27Elliott+Pinkney%27+OR+maker2%3D%27Elliott+Pinkney%27+OR+maker3%3D%27Elliott+Pinkney%27+OR+maker4%3D%27Elliott+Pinkney%27+OR+maker5%3D%27Elliott+Pinkney%27&current_record=1
Chromogenic print,Gift of Ethel Arnold Bradley and daughters,Mayor Tom Bradley,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTom+Bradley%5CPhotograph%2Ejpg,"14"" H x 11"" W",Elson-Alexander Studios,2000.14.19,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Elson%2DAlexander+Studios&whereclause=where+maker%3D%27Elson%2DAlexander+Studios%27+OR+cleanmaker%3D%27Elson%2DAlexander+Studios%27+OR+maker1%3D%27Elson%2DAlexander+Studios%27+OR+maker2%3D%27Elson%2DAlexander+Studios%27+OR+maker3%3D%27Elson%2DAlexander+Studios%27+OR+maker4%3D%27Elson%2DAlexander+Studios%27+OR+maker5%3D%27Elson%2DAlexander+Studios%27&current_record=1
Paper,"Gift of Helen Colvig, In Memory of Mrs. Louise Roy","Advertising card, ""Watermellion's Awful Good...""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CWatermelon%2Ebmp,"14½ x 12""",Epicure Tea,AF19906.74.7,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Epicure+Tea&whereclause=where+maker%3D%27Epicure+Tea%27+OR+cleanmaker%3D%27Epicure+Tea%27+OR+maker1%3D%27Epicure+Tea%27+OR+maker2%3D%27Epicure+Tea%27+OR+maker3%3D%27Epicure+Tea%27+OR+maker4%3D%27Epicure+Tea%27+OR+maker5%3D%27Epicure+Tea%27&current_record=1
Oil on canvas,Gift of Mr. & Mrs. Ron Meyer,My Miss America,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CAmerica%5FBarnes%2Ejpg,"49"" x 37""",Ernie Barnes,AF19838.11,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ernie+Barnes&whereclause=where+maker%3D%27Ernie+Barnes%27+OR+cleanmaker%3D%27Ernie+Barnes%27+OR+maker1%3D%27Ernie+Barnes%27+OR+maker2%3D%27Ernie+Barnes%27+OR+maker3%3D%27Ernie+Barnes%27+OR+maker4%3D%27Ernie+Barnes%27+OR+maker5%3D%27Ernie+Barnes%27&current_record=1
Oil on canvas,Gift of Beatrice and Irving Zeiger,Pool Hall,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CErnie%5FBarnes%5CBarnes%5FUntitled%2Ejpg,"24"" H x  36"" W",Ernie Barnes,2007.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Ernie+Barnes&whereclause=where+maker%3D%27Ernie+Barnes%27+OR+cleanmaker%3D%27Ernie+Barnes%27+OR+maker1%3D%27Ernie+Barnes%27+OR+maker2%3D%27Ernie+Barnes%27+OR+maker3%3D%27Ernie+Barnes%27+OR+maker4%3D%27Ernie+Barnes%27+OR+maker5%3D%27Ernie+Barnes%27&current_record=2
"Serigraph, ink on paper",Gift of Impressions Limited Atelier,The Sunflower Quilting Bee at Arles,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CSUNFLO%7E1%2EBMP,"33.5"" H x 35"" W",Faith Ringgold,2001.6.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Faith+Ringgold&whereclause=where+maker%3D%27Faith+Ringgold%27+OR+cleanmaker%3D%27Faith+Ringgold%27+OR+maker1%3D%27Faith+Ringgold%27+OR+maker2%3D%27Faith+Ringgold%27+OR+maker3%3D%27Faith+Ringgold%27+OR+maker4%3D%27Faith+Ringgold%27+OR+maker5%3D%27Faith+Ringgold%27&current_record=1
"Serigraph, ink on paper",Gift of Impressions Limited Atelier,Groovin' High,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CGroovin%2Ejpg,"32.25"" H x 44"" W",Faith Ringgold,2001.6.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Faith+Ringgold&whereclause=where+maker%3D%27Faith+Ringgold%27+OR+cleanmaker%3D%27Faith+Ringgold%27+OR+maker1%3D%27Faith+Ringgold%27+OR+maker2%3D%27Faith+Ringgold%27+OR+maker3%3D%27Faith+Ringgold%27+OR+maker4%3D%27Faith+Ringgold%27+OR+maker5%3D%27Faith+Ringgold%27&current_record=2
Rotogravure,Gift of Edward T. Garcia,"""Bunch O' Blackberries"" (Cake Walk and Two-Step)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CBunch%5FBlackberries+copy%2Ejpg,"14"" x 11""",Feist & Frankenthaler,2007.11.9,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Feist+%26+Frankenthaler&whereclause=where+maker%3D%27Feist+%26+Frankenthaler%27+OR+cleanmaker%3D%27Feist+%26+Frankenthaler%27+OR+maker1%3D%27Feist+%26+Frankenthaler%27+OR+maker2%3D%27Feist+%26+Frankenthaler%27+OR+maker3%3D%27Feist+%26+Frankenthaler%27+OR+maker4%3D%27Feist+%26+Frankenthaler%27+OR+maker5%3D%27Feist+%26+Frankenthaler%27&current_record=1
Rotogravure,Gift of Edward T. Garcia,"""Smoky Mokes"" (Cake Walk and Two-Step)",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CSmokyMokes+copy%2Ejpg,"14"" x 11""",Feist & Frankenthaler,2007.11.10,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Feist+%26+Frankenthaler&whereclause=where+maker%3D%27Feist+%26+Frankenthaler%27+OR+cleanmaker%3D%27Feist+%26+Frankenthaler%27+OR+maker1%3D%27Feist+%26+Frankenthaler%27+OR+maker2%3D%27Feist+%26+Frankenthaler%27+OR+maker3%3D%27Feist+%26+Frankenthaler%27+OR+maker4%3D%27Feist+%26+Frankenthaler%27+OR+maker5%3D%27Feist+%26+Frankenthaler%27&current_record=2
Gelatin silver prints mounted on board,Gift of Melvin Orsben,"Company ""L"" 24th Infantry - Ft. Benning, Georgia",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMilitary%5CCoL%5F24ID%2Ejpg,"39"" x 29"" each",Fort Des Moines Studio,AF19852.6,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Fort+Des+Moines+Studio&whereclause=where+maker%3D%27Fort+Des+Moines+Studio%27+OR+cleanmaker%3D%27Fort+Des+Moines+Studio%27+OR+maker1%3D%27Fort+Des+Moines+Studio%27+OR+maker2%3D%27Fort+Des+Moines+Studio%27+OR+maker3%3D%27Fort+Des+Moines+Studio%27+OR+maker4%3D%27Fort+Des+Moines+Studio%27+OR+maker5%3D%27Fort+Des+Moines+Studio%27&current_record=1
Haitian oils on canvas,Gift of the artist,Conte Vaudouesque,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CVaudouesque%2Ejpg,"36"" x 44""",Francois Turenne des Pres,AF19834.2.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=1
Haitian oils on canvas,Gift of the artist,Dans Une Plage Caraïbe,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CPlage%2Ejpg,"37 x 31½""",Francois Turenne des Pres,AF19834.2.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=2
Oil on canvas,Gift of the artist,Lidie et Tina,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CLidie%2Ejpg,"25 x 30""",Francois Turenne des Pres,AF19834.2.3,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=3
Haitian oils on canvas,Gift of the artist,Deux Bonnes Femmes,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CFemmes%2Ejpg,"30 x 24""",Francois Turenne des Pres,AF19834.2.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=4
Haitian oils on canvas,Gift of the artist,Lone Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5Cdes+Pres%5CWoman%2Ejpg,"24 x 30""",Francois Turenne des Pres,AF19834.2.5,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=5
"Haitian oils, masonite",Gift of the artist,Conversation a Trois,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CTrois%2Ejpg,"20 x 24""",Francois Turenne des Pres,AF19834.2.7,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=6
Haitian oils on masonite,Gift of the artist,Humilite,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5Cdes+Pres%5CHumilite%2Ejpg,"29"" x 20""",Francois Turenne des Pres,AF19834.2.10,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Francois+Turenne+des+Pres&whereclause=where+maker%3D%27Francois+Turenne+des+Pres%27+OR+cleanmaker%3D%27Francois+Turenne+des+Pres%27+OR+maker1%3D%27Francois+Turenne+des+Pres%27+OR+maker2%3D%27Francois+Turenne+des+Pres%27+OR+maker3%3D%27Francois+Turenne+des+Pres%27+OR+maker4%3D%27Francois+Turenne+des+Pres%27+OR+maker5%3D%27Francois+Turenne+des+Pres%27&current_record=7
"wood, ivory, leather, goat",Gift of Dr. and Mrs. Harland Goldwater,Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CWoman%2Ejpg,"43"" x 36"" x 24""",Frank E. Cummings III,AF199110.41,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Frank+E%2E+Cummings+III&whereclause=where+maker%3D%27Frank+E%2E+Cummings+III%27+OR+cleanmaker%3D%27Frank+E%2E+Cummings+III%27+OR+maker1%3D%27Frank+E%2E+Cummings+III%27+OR+maker2%3D%27Frank+E%2E+Cummings+III%27+OR+maker3%3D%27Frank+E%2E+Cummings+III%27+OR+maker4%3D%27Frank+E%2E+Cummings+III%27+OR+maker5%3D%27Frank+E%2E+Cummings+III%27&current_record=1
Oil on paper,Gift of Myron and Dawn Glenn,Abstract Landscape,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFrank+Williams%5CWilliams%5FLandscape%2Ejpg,"14"" H x 10"" W",Frank James Williams,2006.9.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Frank+James+Williams&whereclause=where+maker%3D%27Frank+James+Williams%27+OR+cleanmaker%3D%27Frank+James+Williams%27+OR+maker1%3D%27Frank+James+Williams%27+OR+maker2%3D%27Frank+James+Williams%27+OR+maker3%3D%27Frank+James+Williams%27+OR+maker4%3D%27Frank+James+Williams%27+OR+maker5%3D%27Frank+James+Williams%27&current_record=1
Charcoal pencil on paper,Gift of Myron and Dawn Glenn,The Call,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFrank+Williams%5CWilliams%5FTheCall%2Ejpg,"38.5"" H x 28.25"" W",Frank James Williams,2006.9.1,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Frank+James+Williams&whereclause=where+maker%3D%27Frank+James+Williams%27+OR+cleanmaker%3D%27Frank+James+Williams%27+OR+maker1%3D%27Frank+James+Williams%27+OR+maker2%3D%27Frank+James+Williams%27+OR+maker3%3D%27Frank+James+Williams%27+OR+maker4%3D%27Frank+James+Williams%27+OR+maker5%3D%27Frank+James+Williams%27&current_record=2
engraving on newsprint,"Gift of Friends, The Foundation of the California African American Museum","The Plantation Police, or Home Guard, Examining Passes on the Road Leading to the Levee of the Mississippi River",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHarper%27s+Weekly%5CCivilWar%5FPlantationPolice+copy%2Ejpg,15.5 H x 10.25 W,Frederick B. Schell,2007.16.4,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Frederick+B%2E+Schell&whereclause=where+maker%3D%27Frederick+B%2E+Schell%27+OR+cleanmaker%3D%27Frederick+B%2E+Schell%27+OR+maker1%3D%27Frederick+B%2E+Schell%27+OR+maker2%3D%27Frederick+B%2E+Schell%27+OR+maker3%3D%27Frederick+B%2E+Schell%27+OR+maker4%3D%27Frederick+B%2E+Schell%27+OR+maker5%3D%27Frederick+B%2E+Schell%27&current_record=1
Oil on linen,California Afro-American Museum Foundation purchase,After the Hunt,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAFTERH%7E1%2EBMP,"60 x 48""",Frederick James Brown,AF19884.37.2,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Frederick+James+Brown&whereclause=where+maker%3D%27Frederick+James+Brown%27+OR+cleanmaker%3D%27Frederick+James+Brown%27+OR+maker1%3D%27Frederick+James+Brown%27+OR+maker2%3D%27Frederick+James+Brown%27+OR+maker3%3D%27Frederick+James+Brown%27+OR+maker4%3D%27Frederick+James+Brown%27+OR+maker5%3D%27Frederick+James+Brown%27&current_record=1
Oil on paper,Gift of Lauree and Larry Turman,U.S. Made,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBrown%5FTurman%2Ejpg,"30"" H x 22"" W",Frederick James Brown,2007.10,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Frederick+James+Brown&whereclause=where+maker%3D%27Frederick+James+Brown%27+OR+cleanmaker%3D%27Frederick+James+Brown%27+OR+maker1%3D%27Frederick+James+Brown%27+OR+maker2%3D%27Frederick+James+Brown%27+OR+maker3%3D%27Frederick+James+Brown%27+OR+maker4%3D%27Frederick+James+Brown%27+OR+maker5%3D%27Frederick+James+Brown%27&current_record=2
Sheet music,Gift of Estate of Marjorie P. Johnson,"""Oh! What A Beautiful City""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSheet%5Fmusic%5CPooleJohnson%5Fsheetmusic+copy%2Ejpg,12 H x 9 W,"G. Schirmer, Inc",2005.9,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+G%2E+Schirmer%2C+Inc&whereclause=where+maker%3D%27G%2E+Schirmer%2C+Inc%27+OR+cleanmaker%3D%27G%2E+Schirmer%2C+Inc%27+OR+maker1%3D%27G%2E+Schirmer%2C+Inc%27+OR+maker2%3D%27G%2E+Schirmer%2C+Inc%27+OR+maker3%3D%27G%2E+Schirmer%2C+Inc%27+OR+maker4%3D%27G%2E+Schirmer%2C+Inc%27+OR+maker5%3D%27G%2E+Schirmer%2C+Inc%27&current_record=1
