dim,made,prov,title,nationality,artist,birthDate,deathDate,image_url
Sheet: 27-1/2 x 21-1/4 in. (69.9 x 54.0 cm); Image: 25-1/2 x 19-1/4 in. (64.8 x 48.9 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.252
126 x 154-1/2 in. (320 x 392.4 cm),1740,The Norton Simon Foundation,"The Triumph of Virtue and Nobility Over Ignorance,",Italian,Giovanni Battista Tiepolo,1696,1770,http://images.nortonsimon.org/viewer/index.php?id=F.1972.26.P
Paper: 29-1/2 x 23-1/4 in. (74.9 x 59.1 cm.); Image: 27-1/8 x 22 in. (68.9 x 55.9 cm.),1969,"Norton Simon Museum, Anonymous Gift","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.223
comp: 8-3/8 x 8-3/4 in. (21.3 x 22.2 cm); sheet: 13-5/8 x 11 in. (34.6 x 27.9 cm),1964,"Norton Simon Museum, Gift of Mr. Paul Beckman, 1967","Slice of Cream Pie with Cherry (or 'Piece of Boston Cream Pie'),",American,Wayne Thiebaud,1920,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.08.1
Sheet: 19 x 20-1/2 in. (48.3 x 52.1 cm); Image: 15-3/4 x 15-3/4 in. (40.0 x 40.0 cm),1964,"Norton Simon Museum, Anonymous Gift, 1967","Homage to the Square: Midnight and Noon VI,",American,Josef Albers,1888,1976,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.012
Sheet:  12-1/2 x 10 in. (31.8 x 25.4 cm); Image: 6-1/2 x 7-1/2 in. (16.5 x 19.1 cm),1968,"Norton Simon Museum, Anonymous Gift, 1971","Venus in Cibola IX,",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.078
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.124
Image: 6-3/4 x 4-5/8 in. (17.1 x 11.7 cm),1961,"Norton Simon Museum, Gift of the Artist","Untitled, (Wall of Walls, Hollywood, CA),",American,Edmund Teske,1911,1996,
6 7/8 in x 5 in (17.5 x 12.7 cm),1966,"Norton Simon Museum, Gift of Donna Stein and Henry Korn","Lipchitz in Russian fur hat,",American,John Swope,1908,1979,http://images.nortonsimon.org/viewer/index.php?id=PH.2006.02
9-5/8 x 6-7/8 in. (24.4 x 17.5 cm),1967,"Norton Simon Museum, Gift of Mrs. Herman Weiner","Jacques Lipchitz Standing in Front of His Sculpture ""Figure"",",American,John Swope,1908,1979,http://images.nortonsimon.org/viewer/index.php?id=PH.1989.1.2
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.123
Image: 8-1/2 x 13-1/16 in. (21.6 x 34.6 cm),1960,"Norton Simon Museum, Gift of the Artist","Untitled (Torn Poster),",American,Edmund Teske,1911,1996,
Image: 8-3/8 x 11 in. (21.3 x 27.9 cm),1960,"Norton Simon Museum, Gift of the Artist","Untitled (Close-up of Dried Roses),",American,Edmund Teske,1911,1996,
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.122
Sheet: 22 x 30 in. (55.9 x 76.2 cm,1965,"Norton Simon Museum, Anonymous Gift, 1967","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.063
Sheet: 27-1/2 x 21-1/4 in. (69.9 x 54 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.253
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.119
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.121
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.120
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.118
Sheet: 12-1/2 x 10 in. (31.75 x 25.4 cm); Image: 6-3/8 x 7-1/2 in. (16.2 x 19.1 cm),1967,"Norton Simon Museum, Anonymous Gift, 1969","Venus in Cibola V,",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.096
Sheet: 19 x 20-1/2 in. (48.3 x 52.1 cm); Image: 15-3/4 x 15-3/4 in. (40.0 x 40.0 cm),1964,"Norton Simon Museum, Anonymous Gift, 1967","Homage to the Square: Midnight and Noon VII,",American,Josef Albers,1888,1976,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.013
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.117
sheet: 17-3/4 x 24 in. (45.1 x 61.0 cm); image: 10-1/4 x 13-3/4 in. (26.0 x 34.9 cm),1964,"Norton Simon Museum, Gift of Mr. Paul Beckman, 1967","Nine Slices Chocolate Cream Pie (or 'Boston Cream Pies'),",American,Wayne Thiebaud,1920,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.08.4
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.125
comp: 3-15/16 x 4-7/8 in. (10.0 x 12.4 cm); sheet 12-1/4 x 11-1/8 in. (31.1 x 28.3 cm),1964,"Norton Simon Museum, Gift of Mr. Paul Beckman, 1967","Double Deckers (or 'Three Ice Cream Cones'),",American,Wayne Thiebaud,1920,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.08.3
sheet: 16 x 22 in. (40.6 x 55.9 cm); image: 8 x 14-1/4 in. (20.3 x 36.2 cm),1967,"Norton Simon Museum, Gift of the Artist","Candy Suckers,",American,Wayne Thiebaud,1920,0,
comp: 8-1/4 x 8 in. (21.0 x 20.3 cm); sheet: 13-1/8 x 12-3/16 in. (33.3 x 31.0 cm),1964,"Norton Simon Museum, Gift of Mr. Paul Beckman, 1967","Layer Cakes (or 'Half Cakes'),",American,Wayne Thiebaud,1920,0,http://images.nortonsimon.org/viewer/index.php?id=P.1967.08.2
sheet: 16 x 22 in. (40.6 x 55.9 cm); image: 8 x 14-1/4 in. (20.3 x 36.2 cm),1967,"Norton Simon Museum, Gift of the Artist, 1968","Candy Suckers,",American,Wayne Thiebaud,1920,0,http://images.nortonsimon.org/viewer/index.php?id=P.1968.13.01
Sheet: 22 x 30 in. (55.9 x 76.2 cm),1965,"Norton Simon Museum, Anonymous Gift, 1968","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1968.27.001
Paper: 26 x 22-1/2 in. (66.0 x 57.2 cm.); Image: 23-1/2 x 21-3/8 in. (59.7 x 54.0 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.222
Sheet: 27-1/2 x 21-1/4 in. (69.9 x 54.0 cm); Image: 22 x 19-3/4 in. (55.9 x 50.2 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.255
Paper: 30 x 22-1/2 in. (76.2 x 57.2 cm.); Image: 27-1/4 x 20-1/4 in. (69.2 x 51.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,
Paper: 33-1/4 x 25 in. (84.5 x 63.5 cm.); Image: 27-1/4 x 20-1/4 in. (69.2 x 51.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.220
Mylar: 13-3/4 x 15-1/2 in. (34.9 x 39.4 cm.); Paper: 18-3/4 x 20-1/2 in. (47.6 x 52.1 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.219
Mylar: 15-3/4 x 12-1/4 in. (40.0 x 31.1 cm.); Paper: 22-1/2 x 16-1/4 in. (57.2 x 41.3 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.218
Sheet: 12-1/2 x 10 in. (31.8 x 25.4 cm); Image: 6-1/2 x 7-3/8 in. (16.5 x 18.7 cm),1968,"Norton Simon Museum, Anonymous Gift, 1971","Venus in Cibola VI,",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.077
Sheet: 19 x 20-1/2 in. (48.3 x 52.1 cm); Image: 15-3/4 x 15-3/4 in. (40.0 x 40.0 cm),1964,"Norton Simon Museum, Anonymous Gift, 1967","Homage to the Square: Midnight and Noon VIII,",American,Josef Albers,1888,1976,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.014
Paper: 25-1/2 x 22 in. (64.8 x 55.9 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.217
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.202
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.201
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.199
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.198
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.200
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.197
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.196
Sheet: 22 x 30 in. (55.9 x 76.2 cm,1968,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.098
Sheet: 30 x 22 in. (76.2 x 55.8 cm); Image: 28 x 20 in. (71.1 x 50.8 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.256
Paper: 12-1/2 x 10 in. (31.8 x 25.4 cm.); Image: 9-1/2 x 8-3/4 in. (24.1 x 22.2 cm.),1969,"Norton Simon Museum, Anonymous Gift","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.128
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.); Image: 9-1/4 x 4-1/2 in. (23.5 x 11.4 cm.),1969,"Norton Simon Museum, Anonymous Gift","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.127
Paper: 15 x 14-1/4 in. (38.1 x 36.2 cm.); Image: 13-1/4 x 13-7/8 in. (33.7 x 35.2 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.195
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","The Magus,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.126
Paper: 25-1/2 x 22 in. (64.8 x 55.9 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.216
Sheet: 12-1/2 x 10 in. (31.8 x 25.4 cm); Image: 6-1/2 x 7-7/16 in. (16.5 x  18.9 cm),1968,"Norton Simon Museum, Anonymous Gift, 1971","Venus in Cibola VII,",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.080
Sheet: 19-1/8 x 41-1/4 in. (48.6 x 104.8 cm),1963,"Norton Simon Museum, Anonymous Gift, 1966","Title/Colophon page Homage to the Square: Day and Night XI,",American,Josef Albers,1888,1976,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.011
Paper: 28 x 22-1/2 in. (71.1 x 57.2 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.215
Paper: 12-1/8 x 10 in. (30.8 x 25.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.203
23-5/8 x 37-3/4 in. (60.0 x 95.9 cm),1740,Norton Simon Art Foundation,"Female Satyr with Tambourine, Child and a Putto,",Italian,Giovanni Battista Tiepolo,1696,1770,http://images.nortonsimon.org/viewer/index.php?id=M.1980.06.2.P
23-5/8 x 37-3/4 in. (60.0 x 95.9 cm),1740,Norton Simon Art Foundation,"Female Satyr with House, Child and a Putto,",Italian,Giovanni Battista Tiepolo,1696,1770,http://images.nortonsimon.org/viewer/index.php?id=M.1980.06.1.P
Sheet: 22 x 30 in. (55.9 x 76.2 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.099
Sheet: 30 x 22 in. (76.2 x 55.9 cm ); 27-3/4 x 20 in. (70.5 x 50.8 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.258
Sheet: 12-1/2 x 10 in. (31.75 x 25.4 cm); Image: 6-3/8 x 7-1/2 in. (16.2 x 19.1 cm),1967,"Norton Simon Museum, Anonymous Gift, 1969","Venus in Cibola VIII,",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.095
Paper: 27 x 23 in. (68.6 x 58.4 cm.),1969,"Norton Simon Museum, Anonymous Gift","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.214
Paper: 27 x 23 in. (68.6 x 58.4 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.213
Paper: 28-1/2 x 23-3/4 in. (72.4 x 60.3 cm.); Image: 27-1/2 x 23-1/4 in. (69.9 x 59.1 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.212
Paper: 28-1/2 x 23-3/4 in. (72.4 x 60.3 cm.); Image: 27-1/2 x 23-1/4 in. (69.9 x 59.1 cm.),1969,"Norton Simon Museum, Anonymous Gift, 1971","Untitled,",American,Hugh Townley,1923,2008,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.211
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: VII,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.218
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: VI,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.217
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: V,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.216
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: IX,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.220
Paper: 30 x 22 in. (76.2 x 55.9 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Movies,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.197
Image: 9-3/16 x 7-1/4 in. (23.3 x 18.4 cm): Paper: 10-1/8 x 8-1/16 (25.7 x 20.5 cm),1952,"Norton Simon Museum, Gift of the Artist","Trees Near the Po, Emilia, Italy,",American,Paul Strand,1890,1976,
Sheet: 22 x 30 in. (55.9 x 76.2 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.100
Sheet: 30 x 22 in. (76.2 x 55.9 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.259
Image: 9-1/8 x 7-1/4 in. (23.2 x 18.4 cm); Paper:  10-5/8 x 8 in. (27 x 20.3 cm),1959,"Norton Simon Museum, Gift of the Artist","Sheik Abdul Hadi Mysid,",American,Paul Strand,1890,1976,
8-1/4 x 6-3/8 in. (21.0 x 16.2 cm),1969,"Norton Simon Museum, Gift of the Artist","Untitled  (Ralph Williams),",American,Michael H. Stone,1945,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.50
8-1/4 x 6-3/8 in. (21.0 x 16.2 cm),1969,"Norton Simon Museum, Gift of the Artist","Untitled  (George Putnam),",American,Michael H. Stone,1945,0,http://images.nortonsimon.org/viewer/index.php?id=PH.1969.49
Paper: 22 x 30 in. (55.9 x 76.2 cm.),1965,"Norton Simon Museum, Anonymous Gift","Medusa,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.075
Sheet: 12-1/2 x 10 in. (31.8 x 25.4 cm); Image: 6-3/8 x 7-1/2 in. (16.2 x 19.1 cm),1969,"Norton Simon Museum, Anonymous Gift, 1971","Venus in Cibola X,",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.082
Paper: 22 x 30 in. (55.9 x 76.2 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Love,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.080
Paper: 22 x 30 in. (55.9 x 76.2 cm.); Image: 20-1/2 x 23 in. (52.1 x 58.4 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Kabuki,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.076
Paper: 28-3/4 x 22 in. (73.0 x 55.9 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Gypsy,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.194
Paper: 22 x 30 in. (55.9 x 76.2 cm.); Image: 18-1/2 x 26 in. (47.0 x 66.0 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Grand Hotel,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.078
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: VIII,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.219
Paper: 22 x 30 in. (55.9 x 76.2 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Flight,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.082
Paper: 22 x 30 in. (55.9 x 76.2 cm.); Image: 13-1/2 x 23-1/2 in. (34.3 x 59.7 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Family,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.083
Paper: 22-1/2 x 30 in. (57.2 x 76.2 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Execution,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.201
Paper: 20 x 26 in. (50.8 x 66.0 cm.); Image: 16-1/2 x 23-1/4 in. (41.9 x 59.1 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Recognitions,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.082
Paper: 13 x 16-1/2 in. (33.0 x 41.9 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Evening,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.079
Sheet: 22 x 30 in. (55.9 x 76.2 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.101
Sheet: 12 x 12 in. (30.5 x 30.5 cm); Image: 10 x 10 in. (25.4 x 25.4 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.260
Paper: 24 x 24 in. (61.0 x 61.0 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Cowboy,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.196
Paper: 21 x 27 in. (53.3 x 68.6 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Circus,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.084
Sheet: 19-3/4 x 26 in. (50.2 x 66.0 cm); Image:  11 x 17-3/4 in. (27.9 x 45.1 cm),1968,"Norton Simon Museum, Anonymous Gift, 1971","Venus Three Times (After Chasseriau),",American,Clinton Adams,1918,2002,http://images.nortonsimon.org/viewer/index.php?id=P.1971.7.143
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: IV,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.215
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: III,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.214
"Norton Simon Museum, Anonymous Gift, 1972",1970,P.1972.08.212-229,"Family of Acrobatic Jugglers: I-XVIII,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.212-229
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: II,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.213
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: X,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.221
Paper: 10 x 8 in. (cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers: I,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.212
Paper: 30 x 24 in. (76.2 x 61.0 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.290
Paper: 30 x 24 in. (76.2 x 61.0 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Family of Acrobatic Jugglers,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.289
Paper: 20 x 26 in. (50.8 x 66.0 cm.); Image: 16-1/2 x 23-1/4 in. (41.9 x 59.1 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Recognitions,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.083
Paper: 22 x 28-3/4 in. (55.9 x 73.0 cm.),1970,"Norton Simon Museum, Anonymous Gift, 1972","Boxed Man in a Box,",American,Jan Stussy,1921,1990,http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.282
Sheet: 22 x 30 in. (55.9 x 76.2 cm),1968,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",American,John Altoon,1925,1969,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.102
Paper: 22-1/2 x 30-1/2 in. (57.2 x 77.5 cm.); Image: 17-1/2 x 29-1/4 in. (44.5 x 74.3 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","W.C.,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.198
Sheet: 12 x 12 in. (30.5 x 30.5 cm); Image: 10 x 10 in. (25.4 x 25.4 cm),1966,"Norton Simon Museum, Anonymous Gift, 1969","Untitled,",Guatemalan,Rodolfo Abularach,1933,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.261
Paper: 18-3/4 x 28 in. (47.6 x 71.1 cm.); Image: 17-1/4 x 26-1/2 in. (43.8 x 67.3 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Rod Random,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.077
Paper: 20 x 26 in. (50.8 x 66.0 cm.); Image: 16-1/2 x 22-1/2 in. (41.9 x 57.2 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Recognitions - Title Page,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.081
Paper: 20 x 26 in. (50.8 x 66.0 cm.); Image: 16-1/2 x 23 in. (41.9 x 58.4 cm.),1968,"Norton Simon Museum, Anonymous Gift, 1969","Recognitions,",American,James Strombotne,1934,0,http://images.nortonsimon.org/viewer/index.php?id=P.1969.092.091
