origin,credit_line,birth_year,death_year,nationality,Label_on_page,dates,name,title,technique,image_url,dimension
"Photograph taken in New Mexico, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1932,Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-717-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)"
"Photograph taken in New Mexico, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1932,Paul Strand,"Adobe Facade, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/2009-160-716-pdp.jpg,"Image: 4 5/8 x 5 7/8 inches (11.8 x 15 cm)
Sheet: 9 15/16 x 7 15/16 inches (25.2 x 20.2 cm)"
"Photograph taken in Connecticut, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1916,Paul Strand,"Abstraction, Porch Shadows, Twin Lakes, Connecticut",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-9-pma.jpg,Image (sight): 12 5/8 x 8 3/4 inches (32.1 x 22.2 cm)
"Photograph taken in Connecticut, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1915,Paul Strand,"Abstraction, Porch Shadows, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1967-285-266-pdp.jpg,Sheet: 11 11/16 x 8 1/16 inches (29.7 x 20.5 cm)
"Photograph taken in Connecticut, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1915,Paul Strand,"Abstraction, Porch Shadows, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1966-205-49-50(10)-pdp.jpg,Sheet: 11 5/8 x 8 15/16 inches (29.5 x 22.7 cm)
"Made in United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1916,Paul Strand,"Abstraction, Bowls, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1967-285-264-pdp.jpg,Sheet: 10 x 8 inches (25.4 x 20.3 cm)
"Photograph taken in Taos, New Mexico, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1932,Paul Strand,"Abandoned House, Taos, New Mexico",Platinum print,http://www.philamuseum.org/images/cad/large/1985-113-5-rec.jpg,Image and sheet: 7 5/8 x 9 11/16 inches (19.4 x 24.6 cm)
"Photograph taken in New Mexico, United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1932,Paul Strand,"Abandoned House, New Mexico",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-114-pdp.jpg,Image (sight): 8 5/8 x 10 15/16 inches (21.9 x 27.8 cm)
"Made in United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1916,Paul Strand,"Abstraction, Bowls, Twin Lakes, Connecticut",Photogravure,http://www.philamuseum.org/images/cad/large/1966-205-49-50(11)-pdp.jpg,Sheet: 11 11/16 x 8 1/16 inches (29.7 x 20.5 cm)
"Photograph taken in United States, North and Central America",© Estate of Paul Strand,1890,1976,American,,1946,Paul Strand,"""Death, The Victor,"" Tombstone, Vermont",Gelatin silver print,http://www.philamuseum.org/images/cad/large/1980-21-190-pma.jpg,Image: 9 7/16 x 7 1/2 inches (24 x 19.1 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002",1835,1896,Philadelphia,"Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002",1865,Attributed to Allen and Brother,Center Table,"Walnut, Circassian walnut l veneer, ebonized and gilt decoration; brass; marble top",http://www.philamuseum.org/images/cad/large/2002-79-1-ov-CX.jpg,30 3/4 x 58 1/2 x 30 1/2 inches (78.1 x 148.6 x 77.5 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2007",1790,1814,American(bornScotland),This chair was likely commissioned for the Philadelphia residence of George and Martha Washington and served as the prototype for a suite of similarly designed chairs commissioned for and still on view at their Mount Vernon estate in Virginia.,1785,Attributed to John Aitken,Side Chair,"Mahogany, lightwood stringing, ash, softwood",http://www.philamuseum.org/images/cad/large/2007-65-6-ov.jpg,"37 1/4 x 21 x 20 1/2 inches (94.6 x 53.3 x 52.1 cm)
Seat: 17 1/2 x 21 x 17 1/2 inches (44.5 x 53.3 x 44.5 cm)"
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Henry P. McIlhenny, 1977",1740,1795,American(bornScotland),,1790,Possibly by Thomas Affleck,Senate Armchair,"Mahogany, oak",http://www.philamuseum.org/images/cad/large/1977-3-1-pma-CX.jpg,"34 1/4 x 24 x 24 inches (87 x 61 x 61 cm)
Seat: 15 x 24 x 19 1/2 inches (38.1 x 61 x 49.5 cm)"
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Harry A. Batten in memory of her husband, 1967",1740,1795,American(bornScotland),"This fire screen, used to block direct heat from an open hearth, was one of four ordered by John Cadwalader for his home in Philadelphia.",1771,Stand and frame made by the Workshop of Thomas Affleck,Fire Screen,Mahogany; modern embroidered silk textile,http://www.philamuseum.org/images/cad/large/1967-266-1v1-cons.jpg,"5 feet 2 1/4 inches x 19 x 17 1/2 inches (158.1 x 48.3 x 44.5 cm)
Height (Screen): 22 1/4 inches (56.5 cm)"
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased with the Elizabeth S. Shippen Fund, 1926",1740,1795,American(bornScotland),,1770,Attributed to Thomas Affleck,Chest-on-Chest,"Mahogany, mahogany veneer, red gum, white cedar, yellow poplar; brass",http://www.philamuseum.org/images/cad/large/1926-19-1-sl.jpg,8 feet 2 1/2 inches x 3 feet 11 1/2 inches x 1 feet 11 1/4 inches (250.2 x 120.7 x 59.1 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","125th Anniversary Acquisition. Gift of H. Richard Dietrich, Jr., 2001",1740,1795,American(bornScotland),"The Cadwalader family commissioned this easy chair as part of a suite of furniture for their Second Street house in Philadelphia. With its curved rails, sharply angled knees, hairy paws, and sensuous carved ornament, it closely corresponds to the other pieces of Cadwalader furniture in the Museum's collection. The upholstery and trim was a lavish display of wealth and taste.",1770,Made by the workshop of Thomas Affleck,Easy Chair,"Mahogany, yellow pine, white oak, white cedar, black walnut, tulip poplar",http://www.philamuseum.org/images/cad/large/2001-12-1view3.jpg,46 x 36 1/2 x 34 inches (116.8 x 92.7 x 86.4 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984",1740,1795,American(bornScotland),"Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984",1770,Workshop of Thomas Affleck,Card Table,"Mahogany, yellow pine, yellow poplar, oak",http://www.philamuseum.org/images/cad/large/1984-6-1view1.jpg,28 7/8 x 39 x 19 3/4 inches (73.3 x 99.1 x 50.2 cm)
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011",1740,1795,American(bornScotland),"Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011",1760,Attributed to Thomas Affleck,Side Chair,"Mahogany, yellow pine",http://www.philamuseum.org/images/cad/large/2011-88-1v1-pma.jpg,40 3/16 x 22 1/16 x 22 7/16 inches (102.1 x 56 x 57 cm)
"Made in United States, North and Central America","Gift of an anonymous donor in memory of Marjorie Bare Rex, 2001",0,0,American,,0,Artist/maker unknown,"""Giant Bull's Eye"" Cruet, without Stopper",Colorless non-lead glass (pressed),http://www.philamuseum.org/images/cad/large/2001-22-17-neh.jpg,4 3/4 x 4 x 3 1/2 inches (12.1 x 10.2 x 8.9cm)
"Made in Albany, New York, United States, North and Central America","The George H. Lorimer Collection, 1938",0,0,Albany,,1847,Made by Albany Glass Works,Flask,Bluet non-lead glass (blown-molded),http://www.philamuseum.org/images/cad/large/1938-23-217-ov.jpg,Height: 7 inches (17.8 cm)
"Made in Albany, New York, United States, North and Central America","The George H. Lorimer Collection, 1938",0,0,Albany,,1847,Made by Albany Glass Works,Flask,Non-lead glass (olive),http://www.philamuseum.org/images/cad/large/1938-23-184-ov.jpg,Height: 7 inches (17.8 cm)
"Made in Bellaire, Ohio, United States, North and Central America","The Elizabeth Wandell Smith Collection, 1928",0,0,Bellaire,,1880,Made by Aetna Glass and Manufacturing Company,Napkin Holder with Salt and Pepper,Non-lead amber glass (pressed),http://www.philamuseum.org/images/cad/large/1928-95-365-neh.jpg,5 3/16 x 4 13/16 x 4 inches (13.2 x 12.2 x 10.2 cm)
"Possibly made in Pittsburgh, Pennsylvania, United States, North and Central America","The George H. Lorimer Collection, 1938",1851,1888,Pittsburgh,,1851,Possibly made by Adams and Company,Flask in the Form of a Scroll,Non-lead glass (aqua),http://www.philamuseum.org/images/cad/large/1938-23-168-ov.jpg,Height: 6 1/2 inches (16.5 cm)
"Made in Pittsburgh, Pennsylvania, United States, North and Central America","Gift of Mrs. Richard W. Lloyd in honor of her father, Morgan Hebard, 1981",1851,1888,Pittsburgh,,1874,Made by Adams and Company,Bread Tray,Yellow glass,http://www.philamuseum.org/images/cad/large/1981-68-1-neh.jpg,1 1/8 x 11 x 8 1/8 inches (2.9 x 27.9 x 20.6 cm)
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1985",1925,0,American,,1978,Designed by Robert Venturi,"""Chippendale"" Chair",Bent laminated wood; plastic laminate,http://www.philamuseum.org/images/cad/large/1985-94-4.jpg,"37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)"
"Made in New York, United States, North and Central America","Gift of Laverne International, 1971",1909,2003,American,"Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.",1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,"31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)"
"Made in Ojai, California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1996,Beatrice Wood,"""Blindman"" Pin",Silver,http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg,4 1/2 x 3 1/2 inches (11.4 x 8.9 cm)
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1983",1908,1986,American,"This clock, one of a series designed by George Nelson Associates for the Howard Miller Company, has become an icon of 1950s design. When the series was introduced, the clocks were considered quite radical-unlike traditional clocks, their faces had no numbers.",1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm)
"Made in United States, North and Central America","Gift of Curvet USA, 1999",1960,0,Canadian(bornEgypt),"The ""Aura"" table's glass sheets are manually colored with water-based paints. Each sheet can be placed on any level and rotated to create twenty-four configurations.",1990,Karim Rashid,"""Aura"" Table","Metal, glass",http://www.philamuseum.org/images/cad/large/1999-154-1.jpg,18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm)
"Made in United States, North and Central America","The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985",1896,1908,American,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985",1904,Reproduction after a painting by A. Romès,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,"Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)"
"Made in United States, North and Central America","Gift of Nessen Lamps, Inc., 1974",1900,1978,American(bornGermany),,1952,Designed by Greta von Nessen,"""Anywhere"" Lamp",Aluminum and enameled metal,http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg,14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm)
"Made in United States, North and Central America","The Ella King Torrey Collection of African American Quilts, 2006",1894,1984,American,"Pearlie Posey quilted at night after working all day in the fields, making her quilts from the skirts of old dresses that she tore into panels. (She recalled that four or six ""skirt tails"" sewn together made a quilt top.) Posey focused on quilting quickly and expediently, sewing the panels together with large stitches and thread that she unraveled from flour sacks. She used simple piecework patterns such as Nine Patch, Four Patch, and strips in her quilts until 1980, when she began making appliqu quilts, following the example of her daughter, Sarah Mary Taylor.",1980,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm)
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name,1960,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm)
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,,1975,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg,6 feet 3 inches x 14 inches (190.5 x 35.6 cm)
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name,1960,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm)"
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,,1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg,63 x 23 inches (160 x 58.4 cm)
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,,1976,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg,47 x 22 inches (119.4 x 55.9 cm)
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,"The sculptor Isamu Noguchi designed this lamp, one of a series inspired by traditional Japanese lanterns. He named the lamps akari, which means ""the light of illumination"" and ""the essence of lightness.""",1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mulberry bark paper, bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg,"open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)"
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name,1960,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,"open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)"
"Made in East Greenville, Pennsylvania, United States, North and Central America","Gift of Lisa S. Roberts in honor of Eric Rymshaw and James Fulton, 2004",1988,0,NewYork,,1999,Designed by Asymptote,"""A3"" Work Station","Tubular steel, metal, plastic, laminated wood",http://www.philamuseum.org/images/cad/large/2004-37-1a--o.jpg,6 feet 1 inches x 9 feet 2 inches x 6 feet 10 inches (185.4 x 279.4 x 208.3 cm)
"Made in Youngstown, Ohio, United States, North and Central America","Gift of David Rowland, 1972",1924,2010,American,,1964,Designed by David Rowland,"""40-in-4"" Stacking Chair","Steel, plastic",http://www.philamuseum.org/images/cad/large/1972-226-1v1-pma.jpg,30 x 20 1/4 x 21 1/2 inches (76.2 x 51.4 x 54.6 cm)
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,,1948,Designed by Isamu Noguchi,Table Lamp,"Plastic, wood",http://www.philamuseum.org/images/cad/large/1977-85-1.jpg,15 3/4 x 7 1/16 inches (40 x 18 cm)
"Made in United States, North and Central America","The Ella King Torrey Collection of African American Quilts, 2006",1894,1984,American,"A resident of Yazoo City, Mississippi, Pearlie Posey used templates made by her daughter, Sarah Mary Taylor, for her own appliqu quilts and, because of failing eyesight, relied on her to cut out the shapes. She liked to mix the figures in each block and connect them with strips of colorful fabric. Posey traced the gymnasts on this quilt from a pantyhose advertisement; she copied the central figure in a coat from another advertisement. She learned to quilt from her grandmother, a former slave, and continued to quilt throughout her life. She remembered that during her childhood piecing and quilting were community activities. Families would get together to tear up old clothes and overalls for quilt tops and on Sunday mornings the women would gather at one house to quilt.",1981,Pearlie Posey,"""Exercisers"" Quilt",Cotton and polyester; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-6-pma.jpg,79 1/2 x 64 3/4 inches (201.9 x 164.5 cm)
"Made in Zeeland, Michigan, United States, North and Central America","Gift of Jeanne S. Rymer, 2007",0,0,withJohnF.Pile,,1957,Designed by George Nelson,"""Pretzel"" Chair","Birch-faced laminated wood, leather",http://www.philamuseum.org/images/cad/large/2007-186-28v1-pma.jpg,31 x 23 1/2 x 19 1/2 inches (78.7 x 59.7 x 49.5 cm)
"Made in Ojai, California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1940,Beatrice Wood,Vase,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1996-3-1-neh.jpg,3 7/8 x 2 1/8 inches (9.8 x 5.4 cm)
"Made in New York City, New York, United States, North and Central America","The Louise and Walter Arensberg Collection, 1950",1893,1998,American,,1917,Published by Beatrice Wood,The Blind Man (No.2),Periodical with paper covers,http://www.philamuseum.org/images/cad/large/1950-134-1053-pma.jpg,Sheet (each): 11 x 8 inches (27.9 x 20.3 cm)
"Made in Ojai, California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1993,Beatrice Wood,Love Boat,"Earthenware with glaze, lustre","http://www.philamuseum.org/images/cad/large/1996-2-13a,b-neh.jpg",14 1/2 x 10 inches (36.8 x 25.4 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1917,Beatrice Wood,Non,"Pen and black ink, colored pencil and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-47-pma.jpg,Sheet: 10 13/16 x 8 7/16 inches (27.5 x 21.4 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1917,Beatrice Wood,L'Après Midi D'Un Faun,Pen and brown ink and colored crayon on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-26.jpg,Sheet: 10 3/8 x 8 1/2 inches (26.4 x 21.6 cm)
"Made in Ojai, California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1950,Beatrice Wood,Iphigenia,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-2-neh.jpg,7 3/4 x 9 3/4 x 6 1/2 inches (19.7 x 24.8 x 16.5 cm)
"Made in Ojai, California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,"Known as the ""Mama of Dada,"" Beatrice Wood began her long artistic life among Dada circles in Paris and New York, where she was associated with Marcel Duchamp and Man Ray. Wood first began working in ceramics in her forties, after moving to Ojai, California, where she became fascinated with the luster glazes used by Persian and Mediterranean potters, and studied the technique with Otto Natzler. Over a fifty-year career, she continued to experiment with different luster effects, marrying sumptuous colors and shimmering surfaces to bold, simple vessels. Chalice typifies the intentionally naive, unschooled quality that Wood sought in her work.",1975,Beatrice Wood,Goblet,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1992-18-2.jpg,12 1/8 x 8 3/4 x 8 3/4 inches (30.8 x 22.2 x 22.2 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1930,Beatrice Wood,Evening at Arensbergs,"Watercolor, ink, and graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-6-pma.jpg,Sheet: 13 x 16 inches (33 x 40.6 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1917,Beatrice Wood,Enormitées se disent dans un salon,"Pen and black ink, colored pencil and colored crayon over graphite on wove paper",http://www.philamuseum.org/images/cad/large/1978-99-3det-pma.jpg,Sheet: 13 x 8 inches (33 x 20.3 cm)
"Made in Ojai, California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1950,Beatrice Wood,Clytemnestra,Glazed earthenware,http://www.philamuseum.org/images/cad/large/1994-101-1-neh.jpg,10 x 12 3/4 x 15 1/2 inches (25.4 x 32.4 x 39.4 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1993,Beatrice Wood,Career Woman,"Transparent watercolor, colored crayon and graphite on wove paper (recto);
graphite (verso)","http://www.philamuseum.org/images/cad/large/1994-190-1a,bv1-pma.jpg",Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm)
"Made in California, United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,"Purchased with funds contributed by the Womens Committee and the Craft Show Committee of the Philadelphia Museum of Art, 1984",1948,Beatrice Wood,Bowl,Luster-glazed earthenware,http://www.philamuseum.org/images/cad/large/1984-24-4-CX.jpg,4 1/2 x 8 1/2 inches (11.4 x 21.6 cm)
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 2001",1960,0,Canadian(bornEgypt),,2000,Designed by Karim Rashid,Chess Set,"Thermoplastic rubber, acrylic",http://www.philamuseum.org/images/cad/large/2001-150-1--33.jpg,Board:  14 1/4 x 14 1/4 inches (36.2 x 36.2 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1917,Beatrice Wood,Beatrice…..Pourquoi!,Crayon and pen and black ink over graphite on wove paper,http://www.philamuseum.org/images/cad/large/1978-99-31-pma.jpg,Sheet: 10 13/16 x 8 11/16 inches (27.5 x 22.1 cm)
"Made in United States, North and Central America",© Beatrice Wood Center for the Arts / Happy Valley Foundation,1893,1998,American,,1917,Beatrice Wood,Beatrice and Her Twelve Children,"Watercolor, gouache, ink, and crayon on wove paper",http://www.philamuseum.org/images/cad/large/1978-98-4-pma.jpg,Sheet: 8 3/8 x 10 7/8 inches (21.3 x 27.6 cm)
"Made in Canada, North and Central America","Gift of Totem Design Group, 2000",1960,0,Canadian(bornEgypt),"Interested in designing a stylish, inexpensive chair, Rashid borrowed the curves, open spaces, and translucent polypropylene material from his ""Garbo"" wastebasket to create ""Oh."" When introduced in January of 1999 at the price of forty-five dollars, the chair found a ready market; fifty thousand ""Oh"" chairs sold in the first three weeks of availability.",1998,Designed by Karim Rashid,"""Oh"" Chair Prototype","Polypropylene, powder-coated steel",http://www.philamuseum.org/images/cad/large/2000-155-1v1-pma.jpg,"34 x 24 x 24inches (86.4 x 61 x 61cm)
Height (to seat): 17 inches (43.2 cm)"
"Made in Santa Fe, New Mexico, United States, North and Central America","Gift of Nambé, 1999",1960,0,Canadian(bornEgypt),"Made of a metal alloy originally used in the aerospace industry that does not chip, crack, peel, break, or tarnish and retains heat and cold, this object was manufactured relatively inexpensively using digital production technologies.",1995,Designed by Karim Rashid,"""Jimmy"" Sugar Bowl",Metal alloy,http://www.philamuseum.org/images/cad/large/1999-105-1-pma.jpg,Height: 4 inches (10.2 cm)
"Made in Santa Fe, New Mexico, United States, North and Central America","Gift of Nambé, 1999",1960,0,Canadian(bornEgypt),"Made of a metal alloy originally used in the aerospace industry that does not chip, crack, peel, break, or tarnish and retains heat and cold, this object was manufactured relatively inexpensively using digital production technologies.",1995,Designed by Karim Rashid,"""Jimmy"" Creamer",Metal alloy,http://www.philamuseum.org/images/cad/large/1999-105-2-pma.jpg,Height: 4 inches (10.2 cm)
"Made in Canada, North and Central America","Gift of Umbra, Ltd., 1999",1960,0,Canadian(bornEgypt),,1992,Designed by Karim Rashid,"""Gyro"" Wall Clock",Spun aluminum,http://www.philamuseum.org/images/cad/large/1999-107-1.jpg,Diameter: 11 inches (27.9 cm)
