Title,Artist,bornDate,diedDate,Classification,Medium,Dimension,Owner,AquisitionDate,Image,Description,DateOfWork,CreditLine
Grant and His Generals,Ole Peter Hansen Balling,1823,1906,Painting,Oil on canvas,"304.8cm x 487.7cm (120"" x 192""), Accurate ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6600066A_1.jpg,"Left to right: Thomas C. Devin (1822-1878), George A. Custer (1839-1876), Hugh J. Kilpatrick (1836-1881), William H. Emory (1811-1887), Philip H. Sheridan (1831-1888), James B. McPherson (1828-1864), George Crook (1830-1890), Wesley Merritt (1834-1910), George H. Thomas (1816-1870), Gouverneur Kemble Warren (1830-1882), George G. Meade (1815-1872), John G. Parke (1827-1900), William T. Sherman (1820-1891), John A. Logan (1826-1886), Ulysses S. Grant (1822-1885), Ambrose E. Burnside (1824-1881), Joseph Hooker (1814-1879), Winfield Scott Hancock (1824-1886), John A. Rawlins (1831-1869), Edward O. C. Ord (1818-1883), Francis Preston Blair (1821-1875), Alfred H. Terry (1827-1890), Henry W. Slocum (1827-1894), Jefferson C. Davis (1828-1879), Oliver O. Howard (1830-1909), John M. Schofield (1831-1906), Joseph A. Mower (1827-1870)  After the Norwegian artist Ole Peter Hansen Balling had sketched President Lincoln at the White House in the fall of 1864, he obtained permission to paint life portraits of leading Union generals. Balling joined General Grant at City Point, Virginia, during the campaign against Richmond and spent five weeks there sketching officers in the field. Philip H. Sheridan was painted while in the Shenandoah Valley; the portraits of William T. Sherman and George H. Thomas were done in Washington after the end of the war. The image of George A. Custer, second from the left, is thought to be the only life portrait painted of him.",1865,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue in memory of her husband Harry Newton Blue (1893-1925), who served as an officer of the Regular U.S. Army 1917-1925"
Leroy Grumann,Boris Chaliapin,1904,1979,Painting,Gouache on board,"30.5cm x 27.3cm (12"" x 10 3/4""), Image ","National Portrait Gallery, Smithsonian Institution",1988,http://npgportraits.si.edu/eMuseumNPG/media/previews/88T0058A_1.jpg,,1944,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Boris Chaliapin"
Robert Hare,Alvan Clark,1804,1887,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6600096a.jpg,,1856,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
Joseph Henry,Henry Ulke,1821,1910,Painting,Oil on canvas,"76.8cm x 63.5cm (30 1/4"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1986,http://npgportraits.si.edu/eMuseumNPG/media/previews/8500098a.jpg,,1885,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
Joseph Henry,Thomas Le Clear,1818,1882,Painting,Oil on canvas,"Image: 117.5 x 84cm (46 1/4 x 33 1/16"") ","National Portrait Gallery, Smithsonian Institution",1964,http://npgportraits.si.edu/eMuseumNPG/media/previews/6400018A_1.jpg,,1877,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
Joseph Henry,Henry Ulke,1821,1910,Painting,Oil on canvas,"139.7cm x 106.7cm (55"" x 42""), Accurate ","National Portrait Gallery, Smithsonian Institution",1979,http://npgportraits.si.edu/eMuseumNPG/media/previews/7900536a.jpg,,1875,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
Herbert Hoover,Douglas Granville Chandor,1897,1953,Painting,Oil on canvas,"Sight: 110.8 x 92.1cm (43 5/8 x 36 1/4"") Frame: 140.3 x 95.6 x 8.3cm (55 1/4 x 37 5/8 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",1968,http://npgportraits.si.edu/eMuseumNPG/media/previews/6800048A_1.jpg,"Herbert Hoover seemed to be the ultimate problem-solver. As a mining engineer, he had turned marginal operations into thriving enterprises. During World War I, his administration of European food relief was nothing short of brilliant. As secretary of commerce in the 1920s, he transformed a once-sleepy department into a purposeful information clearinghouse. But as the Great Depression took hold during the second year of his presidency, Hoover was hard pressed for a solution. Believing in the power of private initiative, he hesitated to involve the federal government in reviving business. When lengthening bread lines and escalating joblessness finally convinced him of the necessity of such steps, the measures proved inadequate. As a result, Hoover was defeated by a crushing margin in his 1932 reelection bid. This portrait was intended for Time magazine's cover. But Hoover delayed his sittings, and by the time it was finished, the magazine was no longer interested. Hoover is thus the only president in Time's history never to appear on a cover while in office. ",1931,"National Portrait Gallery, Smithsonian Institution; Frame conserved with funds from the Smithsonian Women's Committee"
Herbert Clark Hoover,John Christen Johansen,1876,1964,Painting,Oil on canvas,"102cm x 89.5cm (40 3/16"" x 35 1/4""), Estimate ",Herbert Hoover Presidential Library And Museum,1963,http://npgportraits.si.edu/eMuseumNPG/media/previews/ia040070.jpg,,1941,Herbert Hoover Presidential Library and Museum
Herbert Hoover,Joseph Cummings Chase,1878,1965,Painting,Oil on paperboard,"Sight: 54.9 x 41cm (21 5/8 x 16 1/8"") Frame: 91.4 x 70.5 x 6cm (36 x 27 3/4 x 2 3/8"") ","National Portrait Gallery, Smithsonian Institution",1971,http://npgportraits.si.edu/eMuseumNPG/media/previews/7200230a.jpg,,1917,"National Portrait Gallery, Smithsonian Institution; gift of Mendel L. Peterson"
Herbert Hoover,Edmund Charles Tarbell,1862,1938,Painting,Oil on canvas,"117cm x 91.5cm (46 1/16"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500050a.jpg,,1921,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the National Art Committee to the Smithsonian Institution, 1923"
Herbert Clark Hoover,William Barr,1867,1933,Painting,Oil on canvas,"125.9cm x 95.5cm (49 9/16"" x 37 5/8""), Estimate ",Herbert Hoover Presidential Library And Museum,1962,http://npgportraits.si.edu/eMuseumNPG/media/previews/ia040005.jpg,,1920,Herbert Hoover Presidential Library and Museum
Herbert Hoover,Ernest Hamlin Baker,1889,1975,Painting,Gouache on board,"25.7cm x 23cm (10 1/8"" x 9 1/16"") ","National Portrait Gallery, Smithsonian Institution",1996,http://npgportraits.si.edu/eMuseumNPG/media/previews/96t0006e.jpg,,1939,"National Portrait Gallery, Smithsonian Institution"
Herbert Clark Hoover,Violet Beatrice Wenner,1886,1970,Painting,Oil on canvas,"100.5cm x 75.3cm (39 9/16"" x 29 5/8""), Sight ",Union League Club of Chicago,1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/il030010.jpg,,1930,The Union League Club of Chicago
Herbert Clark Hoover,Pilides Costa,1891,1947,Painting,Oil on canvas,"115.1cm x 89.9cm (45 5/16"" x 35 3/8""), Sight ",Herbert Hoover Presidential Library And Museum,1962,http://npgportraits.si.edu/eMuseumNPG/media/previews/ia040028.jpg,,1930,Herbert Hoover Presidential Library and Museum
William Temple Hornaday,George Rufus Boynton,1854,1945,Painting,Oil on canvas,"122.5cm x 92cm (48 1/4"" x 36 1/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",1983,http://npgportraits.si.edu/eMuseumNPG/media/previews/8300694a.jpg,,0,"National Portrait Gallery, Smithsonian Institution; gift of William T. Hornaday Conservation Trust, Inc."
Herbert Ives,Chester Warner Slack,1850,1950,Painting,Oil on canvas,"61cm x 58cm (24"" x 22 13/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1985,http://npgportraits.si.edu/eMuseumNPG/media/previews/8500432a.jpg,,1933,"National Portrait Gallery, Smithsonian Institution; gift of Kenneth I. Ives and Barbara Ives Beyer, the sitter's children"
Thomas Jefferson,Charles Bird King,1785,1862,Painting,Oil on wood panel,"Sight: 49.5 x 41.3cm (19 1/2 x 16 1/4"") Frame: 72.4 x 65.4 x 8.6cm (28 1/2 x 25 3/4 x 3 3/8"") ","National Portrait Gallery, Smithsonian Institution",1992,http://npgportraits.si.edu/eMuseumNPG/media/previews/9200220a.jpg,"This work replicates an unusual profile portrait of Thomas Jefferson that Gilbert Stuart painted in Washington, D.C., in 1805, at the beginning of Jefferson's second presidential term. The neoclassical composition ""in the medallion form"" was suggested by Jefferson, who later wrote that Stuart's portrait (now owned by Harvard University) was ""deemed the best which has been taken of me."" King, a Washington painter, made the copy for Jefferson's family, who preferred this neoclassical profile over Stuart's three-quarter view of Jefferson, which was painted at the same sittings. ",1836,"National Portrait Gallery, Smithsonian Institution"
Thomas Jefferson,Charles Willson Peale,1741,1827,Painting,Oil on canvas,"Image: 61 x 50.8cm (24 x 20"") Frame: 66 x 55.9cm (26 x 22"") ",Independence National Historical Park,1854,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa300150.jpg,"In 1791, Charles Willson Peale added this portrait of Secretary of State Thomas Jefferson to his museum's collection of American heroes. Jefferson appears younger than his fifty years, perhaps evoking the young man the artist remembered as the Virginia delegate to the Continental Congress. Jefferson was well known to Americans in 1791, having also served as governor of Virginia and ambassador to France. Notwithstanding George Washington's desire for unity in his administration, Jefferson quickly found himself at odds with Secretary of the Treasury Alexander Hamilton, whose power and influence on the president rivaled his own. Jefferson favored a smaller, weaker national government, with more power residing in the states, and closer ties to France; Hamilton argued for a powerful national government allied to Great Britain. From these differences the first American party system-Democratic-Republicans (Jefferson) versus Federalists (Hamilton)-was born.",1791,"Courtesy of Independence National Historical Park Collection, Philadelphia, PA"
Thomas Jefferson,Gilbert Stuart,1755,1828,Painting,Oil on canvas,"73cm x 59cm (28 3/4"" x 23 1/4""), Sight ",Colonial Williamsburg,1945,http://npgportraits.si.edu/eMuseumNPG/media/previews/va060036.jpg,,1805,Colonial Williamsburg
Thomas Jefferson,Mather Brown,1761,1831,Painting,Oil on canvas,"Sight: 91.4 x 71.1cm (36 x 28"") Frame: 102.2 x 82.2 x 5.7cm (40 1/4 x 32 3/8 x 2 1/4"") ","National Portrait Gallery, Smithsonian Institution",1999,http://npgportraits.si.edu/eMuseumNPG/media/previews/9900178A_3.jpg,"As the new American republic emerged from its war with the mother country, Thomas Jefferson and John Adams, collaborators in the formulation of the Declaration of Independence (although Jefferson wrote the final document), were brought together as trade negotiators in France, where their mutual respect turned into friendship. In the spring of 1786-when Jefferson was the American minister to France and Adams the American minister to England-Jefferson visited Adams, who suggested that he pose for the young Boston-born artist Mather Brown. An exchange of portraits between the two colleagues ensued. This painting, the earliest known likeness of Jefferson, remained in Adams's family until given to the nation in 1999. 	The background contains the classical figure of Freedom holding a staff topped by a cap, which had its origins in the conical cloth cap adopted by freed Roman slaves as the symbol of their liberty. ",1786,"National Portrait Gallery, Smithsonian Institution; bequest of Charles Francis Adams; Frame conserved with funds from the Smithsonian Women's Committee"
Thomas Jefferson,Bradley Stevens,1954,0,Painting,Oil on panel,"66.3cm x 53.1cm (26 1/8"" x 20 7/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",1986,http://npgportraits.si.edu/eMuseumNPG/media/previews/8600006a.jpg,,1986,"National Portrait Gallery, Smithsonian Institution"
Thomas Jefferson,Rembrandt Peale,1778,1860,Painting,Oil on canvas,"71.1cm x 59.7cm (28"" x 23 1/2""), Estimate ",New-York Historical Society,1941,http://npgportraits.si.edu/eMuseumNPG/media/previews/ny300001_2.jpg,,1805,New-York Historical Society
Thomas Jefferson,John Trumbull,1756,1843,Painting,Oil on wood,"10.5cm x 8cm (4 1/8"" x 3 1/8""), Sight ","Monticello, Thomas Jefferson Foundation",1958,http://npgportraits.si.edu/eMuseumNPG/media/previews/va100071.jpg,,1788,"Monticello/Thomas Jefferson Foundation, Incorporated"
Thomas Jefferson,Bass Otis,1784,1861,Painting,Oil on canvas,"74.5cm x 62.1cm (29 5/16"" x 24 7/16""), Sight ","Monticello, Thomas Jefferson Foundation",1930,http://npgportraits.si.edu/eMuseumNPG/media/previews/va100070_2.jpg,,1816,
Thomas Jefferson,John Trumbull,1756,1843,Painting,Watercolor on paper,"7cm x 6.5cm (2 3/4"" x 2 9/16""), Sight ",Virginia Historical Society,1978,http://npgportraits.si.edu/eMuseumNPG/media/previews/VA220200.jpg,,1787,The Virginia Historical Society
Thomas Jefferson,Caleb Boyle,1750,1850,Painting,Oil on canvas,"233.8cm x 154.4cm (92 1/16"" x 60 13/16""), Estimate ",Lafayette College,1943,http://npgportraits.si.edu/eMuseumNPG/media/previews/pa220101.jpg,,1801,"Lafayette College, Easton, Pennsylvania"
Thomas Jefferson,Bass Otis,1784,1861,Painting,Oil on canvas,"90.6cm x 70.6cm (35 11/16"" x 27 13/16""), Sight ",Chicago History Museum,1923,http://npgportraits.si.edu/eMuseumNPG/media/previews/il100348.jpg,,1816,Chicago Historical Society
Thomas Jefferson,Gilbert Stuart,1755,1828,Painting,Oil on mahogany panel,"66.4cm x 53.3cm (26 1/8"" x 21"") ",,1982,http://npgportraits.si.edu/eMuseumNPG/media/previews/8200232A_1.jpg,"On his epitaph, Thomas Jefferson indicated his authorship of the Declaration of Independence and the Virginia Statute for Religious Freedom, and his founding of the University of Virginia. He omitted, however, any mention of being the third president of the United States, perhaps because his policies failed to end encroachments on American rights during the Napoleonic Wars of the early 1800s. Great Britain, with its naval superiority, forbade American ships from supplying Napoleon鈥檚 armies and forced American sailors to serve in its navy (impressment). After failing to change British policy with a Non-Importation Act (1806), Congress passed Jefferson鈥檚 Embargo Act (1807), prohibiting American ships and goods from leaving port. In the final month of his presidency, Jefferson repealed the embargo and signed the Non-Intercourse Act, which reopened trade with all nations except Great Britain and France. It also authorized his successor, James Madison, to resume trade with whichever of those nations stopped violating American neutral trading rights. ",1805,"National Portrait Gallery, Smithsonian Institution; owned jointly with Monticello, Thomas Jefferson Foundation, Incorporated, Charlottesville, Virginia; purchase funds provided by the Regents of the Smithsonian Institution, the Trustees of the Thomas Jefferson Foundation, Incorporated, and the Enid and Crosby Kemper Foundation"
Thomas Jefferson,Charles Peale Polk,1767,1822,Painting,Oil on canvas,"68.4cm x 58.4cm (26 15/16"" x 23""), Sight ","New York State Office of Parks, Recreation and Historic Preservation",0,http://npgportraits.si.edu/eMuseumNPG/media/previews/ny190170.jpg,,1799,"Philipse Manor Hall, New York State Office of Parks, Recreation and Historic Preservation"
Samuel William Johnson,William N. Dovener,1870,1954,Painting,Oil on canvas,"111.8cm x 91.5cm (44"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510078a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
Percy L. Julian,Richard Ruh Epperly,1891,1973,Painting,Oil on canvas,"81.3 x 66 cm (32 x 26"" ) ","National Portrait Gallery, Smithsonian Institution",1997,http://npgportraits.si.edu/eMuseumNPG/media/previews/9700476a.jpg,,1952,"National Portrait Gallery, Smithsonian Institution; gift of Eugene V. Epperly"
John Harvey Kellogg,Emil Fuchs,1866,1929,Painting,Oil on canvas,"122cm x 91.5cm (48 1/16"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6600058a.jpg,,1927,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Dr. Edward Kellogg, 1963"
Samuel Pierpont Langley,Robert Gordon Hardie,1854,1904,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1979,http://npgportraits.si.edu/eMuseumNPG/media/previews/7910127a.jpg,,1893,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
Benjamin Latrobe,Charles Frederick Von Breda,1759,1818,Painting,Oil on canvas,"Stretcher: 18.1 x 13.3cm (7 1/8 x 5 1/4"") ","National Portrait Gallery, Smithsonian Institution",2011,http://npgportraits.si.edu/eMuseumNPG/media/previews/B1000128A.jpg,"Born Yorkshire, England  Benjamin Latrobe was the most important architect of the early republic, transforming the discipline from an avocation for amateurs to a profession with standards and practices. Latrobe trained several of America鈥檚 next generation of architects, including the designer of this building, Robert Mills. Born in England, Latrobe trained there and in Germany. He but we know little of Latrobe鈥檚 early work because his records were lost at sea when he immigrated to America in 1795鈥?6. His influential American buildings include the Philadelphia Water Works, New York City Hall, and redesigns of the Capitol and White House after they were burned in the War of 1812. Latrobe and artist Charles Frederick von Breda were at the beginning of their careers in London when this portrait was made. Von Breda created it to recall the lively and successful composition of a larger painting now in the collection of the Maryland Historical Society.",1790,"National Portrait Gallery, Smithsonian Institution"
Isaac Lea,Bernard Albrecht Uhle,1847,1930,Painting,Oil on canvas mounted on wood,"128.5cm x 108cm (50 9/16"" x 42 1/2""), Accurate ","National Portrait Gallery, Smithsonian Institution",1966,http://npgportraits.si.edu/eMuseumNPG/media/previews/6600100a.jpg,,1884,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Marjorie Lea Hudson, 1961"
Willard Frank Libby,Alvin L. Gittins,1922,1981,Painting,Oil on canvas,"91.4cm x 122cm (36"" x 48 1/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1982,http://npgportraits.si.edu/eMuseumNPG/media/previews/8200114a.jpg,,1968,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Willard F. Libby"
Eben Jenks Loomis,Edwin Burrage Child,1868,1937,Painting,Oil on canvas,"91.5cm x 75.9cm (36"" x 29 7/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",1969,http://npgportraits.si.edu/eMuseumNPG/media/previews/6910056a.jpg,,1910,"National Portrait Gallery, Smithsonian Institution; bequest of Millicent Todd Bingham"
Eben Jenks Loomis,Edwin Burrage Child,1868,1937,Painting,Oil on canvas,"127cm x 91.5cm (50"" x 36""), Accurate ","National Portrait Gallery, Smithsonian Institution",1969,http://npgportraits.si.edu/eMuseumNPG/media/previews/6910066a.jpg,,1910,"National Portrait Gallery, Smithsonian Institution; bequest of Millicent Todd Bingham"
Charles Frederick Marvin,William N. Dovener,1870,1954,Painting,Oil on canvas,"111.8cm x 91.2cm (44"" x 35 7/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510086a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
Edward Maynard,George Willoughby Maynard,1843,1923,Painting,Oil on canvas,"77.5cm x 63.5cm (30 1/2"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",1971,http://npgportraits.si.edu/eMuseumNPG/media/previews/7100006A_1.jpg,,1881,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the artist, 1910"
Cyrus Hall McCormick,Charles Loring Elliott,1812,1868,Painting,Oil on canvas,"Stretcher: 51.4 x 41.3 x 3.8cm (20 1/4 x 16 1/4 x 1 1/2"") Frame: 59.7 x 49.5 x 6.7cm (23 1/2 x 19 1/2 x 2 5/8"") ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/7500004a.jpg," Territorial expansion generated a spirit of technological adventure and a search for new methods to handle the unique conditions of American life. Cyrus McCormick, a farmer in Virginia's Shenandoah Valley, succeeded where his father had failed by constructing the first practical reaping machine. This reaper was a first step in the mechanization of American agriculture, allowing the efficient cultivation of large tracts of farmland by small numbers of farmers. This industrialization of the land allowed the United States to boost agricultural production to unprecedented levels and to feed growing cities and industrial towns. McCormick's design was pirated by competitors, but he overcame his rivals by founding his own factory outside Chicago in 1847. There, he contributed to the pace of industrial growth by using standardized parts and assembly-line production-methods that had been pioneered by Samuel Colt and others. ",0,"National Portrait Gallery, Smithsonian Institution; gift of Chauncey and Marion Deering McCormick Foundation and Mrs. Gilbert Harrison"
Men of Progress,Christian Schussele,1824,1879,Painting,Oil on canvas,"Stretcher: 128.3 x 190.5 x 5.1cm (50 1/2 x 75 x 2"") Frame: 162.6 x 225.7 x 12.7cm (64 x 88 7/8 x 5"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500108A_2.jpg,"In 1857, the inventor of a coal-burning stove, Jordan Mott, commissioned Christian Schussele to paint a group portrait of eighteen American scientists and inventors who ""had altered the course of contemporary civilization."" As with Schussele's celebration of American letters, Washington Irving . . . at Sunnyside, the group portrait did not mark an actual occasion but was designed to honor the achievements of American industry. The artist sketched study portraits of each of his subjects before putting them all into his final, formal composition. Men of Progress is a remarkable document of the growth of the American economy by the 1850s as it celebrates the inventions and processes of manufacturing pioneered by men such as Cyrus McCormick, Charles Goodyear, Samuel Colt, Samuel Morse, Elias Howe, and fourteen others. ",1862,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942"
Thomas Corwin Mendenhall,Annie Ware Sabine Siebert,1864,1947,Painting,Watercolor on ivory,"Ivory: 10.2 x 7cm (4 x 2 3/4"") Frame: 14 x 11.9cm (5 1/2 x 4 11/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1967,http://npgportraits.si.edu/eMuseumNPG/media/previews/6710222A_1.jpg,"Born Hanoverton, Ohio   Thomas Corwin Mendenhall, a physicist and professor at Ohio State University, became president of Worcester Polytechnic Institute in 1894. This miniature of him was painted in 1918 by his former Ohio State pupil Annie Ware Sabine Siebert. Wallace Siebert, the artist鈥檚 brother, wrote of her talents: 鈥淵ou always seem to get the essence of a man, that which does not change with lapse of time.鈥?A remarkable woman of her era, Siebert became the first recipient of a master of arts degree from Ohio State in 1886 and one of the first women to earn an architecture degree from MIT. ",1918,
Paul Dyer Merica,Everett Raymond Kinstler,1926,0,Painting,Oil on canvas,"121.3cm x 105.4cm (47 3/4"" x 41 1/2""), Accurate ","National Portrait Gallery, Smithsonian Institution",1988,http://npgportraits.si.edu/eMuseumNPG/media/previews/8800120a.jpg,,1963,"National Portrait Gallery, Smithsonian Institution; transfer from the National Bureau of Standards, Department of Commerce; gift of the International Nickel Corporation, 1984"
Robert Andrews Millikan,Stephen Seymour Thomas,1868,1956,Painting,Oil on canvas,"61cm x 46.2cm (24"" x 18 3/16"") ","National Portrait Gallery, Smithsonian Institution",1994,http://npgportraits.si.edu/eMuseumNPG/media/previews/9400058a.jpg,,1929,"National Portrait Gallery, Smithsonian Institution; gift of Michael Millikan and family"
Samuel F. B. Morse Self-Portrait,Samuel Finley Breese Morse,1791,1872,Painting,Oil on millboard,"Board: 27.3 x 22.5 x 0.3cm (10 3/4 x 8 7/8 x 1/8"") Frame: 35.6 x 30.5 x 4.8cm (14 x 12 x 1 7/8"") ","National Portrait Gallery, Smithsonian Institution",1980,http://npgportraits.si.edu/eMuseumNPG/media/previews/8000496A_1.jpg,"Inventor of the telegraph Samuel Morse was first a portraitist active in intellectual circles, who helped found the National Academy of Design (1826) in order to elevate and support the arts. But around 1832 he became fascinated with the idea of sending messages via electric wire. With no scientific or mechanical training, Morse devised an elegant machine that sent coded messages by opening and closing an electrical circuit. While the government neglected the telegraph, private businesses seized on the new invention as a great leap forward in communications technology. At a time when railways and water transportation were binding the country together, Morse did the same with a network of instantaneous communication. Speed has always characterized America, and Morse's breakthrough was the gigantic first step in creating ever-faster means of communicating. ",1812,"National Portrait Gallery, Smithsonian Institution; this acquisition was made possible by a generous contribution from the James Smithson Society"
Samuel F. B. Morse,Edward Lind Morse,1857,1923,Painting,Oil on canvas,"35.5cm x 28.5cm (14"" x 11 1/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",1971,http://npgportraits.si.edu/eMuseumNPG/media/previews/7100046a.jpg,,1895,"National Portrait Gallery, Smithsonian Institution; transfer from the National Museum of American History; gift of the Telegraphic Historical Society of North America"
Albert James Myer,George Peter Alexander Healy,1813,1894,Painting,Oil on canvas,"76cm x 62cm (29 15/16"" x 24 7/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1970,http://npgportraits.si.edu/eMuseumNPG/media/previews/7000032A_1.jpg,,1876,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; bequest of Viola Walden Myer, 1919"
Simon Newcomb,Charles Harold L. MacDonald,1861,1923,Painting,Oil on canvas,"76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",1978,http://npgportraits.si.edu/eMuseumNPG/media/previews/7800580a.jpg,,1909,"National Portrait Gallery, Smithsonian Institution; gift of Simon Newcomb Wilson"
Logan Waller Page,William N. Dovener,1870,1954,Painting,Oil on canvas,"112.4cm x 91.8cm (44 1/4"" x 36 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6510110a.jpg,,1931,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
Thomas Paine,Laurent Dabos,1761,1835,Painting,Oil on canvas,"Stretcher: 34 x 26cm (13 3/8 x 10 1/4"") Frame: 50.8 x 43.5cm (20 x 17 1/8"") ","National Portrait Gallery, Smithsonian Institution",2008,http://npgportraits.si.edu/eMuseumNPG/media/previews/A8000010A_1.jpg,"Before the Reign of Terror began in 1793, Laurent Dabos, an artist from Toulouse undertook (apparently for the purpose of engraving) small full-length portraits of twelve luminaries of the French Revolution-Thomas Paine the only non-Frenchman among them. The bust version here shows Paine about the time he reached France. Well known as the author of Common Sense and Rights of Man, he was greeted by cannon salutes and cries of ""Vive Thomas Paine.""  Outlawed in England, Paine was never able to return to his native land, but his portrait was carried there-possibly by a member of the radical Anglo contingent in Paris-and was discovered some years ago in Northumberland. ",1792,"National Portrait Gallery, Smithsonian Institution"
Linus Pauling,Alice Neel,1900,1984,Painting,Oil on canvas,"Stretcher: 126.4 x 90.2 x 2.5cm (49 3/4 x 35 1/2 x 1"") Frame: 148.9 x 113 x 7cm (58 5/8 x 44 1/2 x 2 3/4"") ","National Portrait Gallery, Smithsonian Institution",1985,http://npgportraits.si.edu/eMuseumNPG/media/previews/8500146A_1.jpg,"Born Portland, Oregon  The only recipient of two unshared Nobel Prizes-for chemistry and peace-Linus Pauling both advanced science and addressed its social implications. In the 1930s and 1940s, he applied quantum mechanics to chemistry, inspiring new discoveries about molecular structures and leading to his 1954 Nobel Prize. Pauling's resistance to atomic weapons fueled his publication of No More War! in 1958 and earned him a second Nobel in 1962. A year later the Nuclear Test-Ban Treaty was implemented.  	Alice Neel's informal portrait depicts the scientist outside of the laboratory to indicate the breadth of his commitments. Pauling later explained, ""I could have accomplished a lot more science from 1945 to 1965. I decided . . . I ought to get scientists working for world peace. . . . Scientists have an obligation to help fellow citizens make the right decisions.""",1969,"National Portrait Gallery, Smithsonian Institution"
Rubens Peale,Rembrandt Peale,1778,1860,Painting,Oil on canvas,"Stretcher: 66.7 x 54.6cm (26 1/4 x 21 1/2"") Frame: 82.9 x 70.5 x 5.1cm (32 5/8 x 27 3/4 x 2"") ","National Portrait Gallery, Smithsonian Institution",1986,http://npgportraits.si.edu/eMuseumNPG/media/previews/8600424A_1.jpg,"Born Philadelphia, Pennsylvania  Charles Willson Peale named his children after artists and scientists, so at his birth Rubens Peale joined his older brothers Raphaelle and Rembrandt. Unlike them, Rubens did not become an artist but followed the Peale family鈥檚 other business: operating museums of art and science. Rubens was a good manager, helping his father run the famous Peale Museum in Philadelphia and taking sole charge of it in 1810. Later he would operate Peale Museums in Baltimore and New York.  This portrait by Rembrandt Peale emphasizes Rubens鈥檚 eyeglasses (he was very near-sighted), as does his more famous 1801 painting, Rubens Peale with a Geranium (National Gallery of Art). Many of the Peales had poor eyesight and were interested in optometry. ",1807,"National Portrait Gallery, Smithsonian Institution; partial gift of Mrs. James Burd Peale Green"
