title,sourceURL,imageURL,artist,nationality,birthDate,deathDate,materials,dimensions,creditLine,creationDate,galleryLabel,provenance
Girl at the Piano: Recording Sound,http://www.imamuseum.org/art/collections/artwork/girl-piano-recording-sound-theodore-roszak,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/fb/fb62bc80-1a08-4f73-bfd3-0aafb6a37166.jpg,"Roszak, Theodore",American,1907,1981,oil on canvas,37 x 48 in.,James E. Roberts Fund and Martha Delzell Memorial Fund,1935,"In this canvas, Roszak combined geometric abstraction, Surrealism, and his fascination with technology to create visual descriptions of sound.
Roszak, a skilled violinist, depicts the act of music making and the machine capable of recording it.",
Morning at Grand Manan,http://www.imamuseum.org/art/collections/artwork/morning-grand-manan-bricher-alfred-thompson,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8d/8d88de1e-3818-46c5-aeca-969bb0400c2b.jpg,"Bricher, Alfred Thompson",American,1837,1908,oil on canvas,,Martha Delzell Memorial Fund,1878,"Morning at Grand Manan is a prime example of Luminism, a style characterized by tranquil landscapes, barely visible brushstrokes, precisely rendered detail and glowing light.
Bricher favored working along the North Atlantic coast, including Grand Manan Island, a summer resort in New Brunswick, Canada.",The artist Vose Gallery 1878 IMA 1970
The Flight of Europa,http://www.imamuseum.org/art/collections/artwork/flight-europa-manship-paul,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/48/48968a4a-73d0-4b7d-aee0-ed9f11b21f70.jpg,"Manship, Paul",American,1885,1966,gilt bronze on agate base,25 x 30 1/2 x 8 1/4 in. (including base),Gift of Lucy M. Taggart in memory of her brother Thomas D. Taggart,1925,"Manship achieves a witty interpretation of the classical myth of Europa, abducted by Zeus who transformed himself into a bull to carry her across the sea.
The rhythmic composition sets horizontal against vertical and speed versus stillness, as the bull's horns, tail and legs oppose Europa's upright stance.",
Woodcutters in Windsor Park,http://www.imamuseum.org/art/collections/artwork/woodcutters-windsor-park-west-benjamin,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/69/6901db54-9bea-4edd-9d62-1884f44b8c6b.jpg,"West, Benjamin",American,1738,1820,oil on canvas,26 1/2 x 35 in.,Gift of Mrs. Nicholas H. Noyes,1795,"Born in Pennsylvania, Benjamin West studied painting in Rome in his early twenties and moved to England in 1763, where he remained for the rest of his career. The setting for this landscape is the Queen's Lodge in the Great Park at Windsor, where woodcutters are shown making a clearing to provide a ""view."" Such vistas were an essential part of 18th-century English landscape design. The landscape was painted the same year West began work on a major cycle of decorations for the chapel at Windsor Castle.",(back to top)Provenance Research is on-going at the Indianapolis Museum of Art and information will be added to this record as research is completed. Please contact Annette Schlagenhauff Assoc. Curator of Research at aschlagenhauff@imamuseum.org with any questions.
The Olive Grove,http://www.imamuseum.org/art/collections/artwork/olive-grove-sargent-john-singer,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/28/285c32a9-c8bf-438f-a3c6-9746e9b0ebe5.jpg,John Singer Sargent,American,1856,1925,oil on canvas,,"Gift of Hirschl and Adler Galleries, New York",1910,"The Olive Grove was probably painted on the Greek isle of Corfu during one of Sargent's trips to the Mediterrean. 
The image depicts a group local people gathering olives in baskets.
Sargent was a noted portrait painter during the late 19th century, and turned increasing to landscape painting in the early 20th century.",
Woman in White,http://www.imamuseum.org/art/collections/artwork/woman-white-bobbs-ruth-pratt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/3e/3e3ca84a-da82-4990-b6e7-8eb57ff10aa2.jpg,Ruth P. Bobbs,American,1884,1973,oil on canvas,,Gift of Eleanor Dickson and Otto N. Frenzel,1902,,
Souvenir of the Columbian Exposition,http://www.imamuseum.org/art/collections/artwork/souvenir-columbian-exposition-atkinson-jacob,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/94/943efd2c-3c0a-4993-8e60-5ecd169b401a.jpg,Jacob Atkinson,American,1864,1938,oil on canvas,12 x 16 1/8 in.,James E. Roberts Fund and Martha Delzell Memorial Fund,1893,,
"Rondout, New York",http://www.imamuseum.org/art/collections/artwork/rondout-new-york-dabo-leon,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/39/3971bb2d-964e-465e-9a53-2e6cafc6aebe.jpg,"Dabo, Leon",American,1868,1960,oil on canvas,,Gift of S. O. Buckner,1907,"Twinkling lights on the distant shore mixed with dark tonal harmonies create a moody twilight landscape.
The expressive, linear brushwork may have been derived from the study of Asian painting.
Dabo described his landscapes as “pretexts for beautiful color arrangements.”",
Polling Landscape,http://www.imamuseum.org/art/collections/artwork/polling-landscape-duveneck-frank,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2c/2ccc6544-df6a-4aeb-859d-8ae712bdba6e.jpg,"Duveneck, Frank",American,1848,1919,oil on canvas,,"Gift of Mrs. Charles P. Mattingly, in memory of Charles Stayton Drake",1881,"Duveneck opened a school in Polling, Bavaria where he trained Americans who became known as the “Duveneck Boys.”
Polling Landscape exhibits principles of the Munich Academy’s teaching and the French Barbizon artists—strong brushwork, the manipulation of dark tonalities, and a sketch-like quality.",
Pelvis with Distance,http://www.imamuseum.org/art/collections/artwork/pelvis-distance-okeeffe-georgia,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b1/b198ba39-73fe-474b-a0ab-3d8e7597e3d7.jpg,"O'Keeffe, Georgia",American,1887,1986,oil on canvas,23 7/8 x 29 3/4 in.,Gift of Anne Marmon Greenleaf in memory of Caroline Marmon Fesler,1943,"The radical manipulation of perspective and scale, and the strong but elegant contours of the bone, exemplify O'Keeffe's genius for capturing the essential forms of nature.
In 1929 O'Keeffe began to summer in New Mexico, where the colors, shapes, and vistas of the Southwest became central to her work.",Purchased from the artist by Caroline Fesler Anne Marmon Greenleaf 1960 donated to the IMA 1977
Grey Hills,http://www.imamuseum.org/art/collections/artwork/grey-hills-okeeffe-georgia,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/da/da23657a-ad4d-41a5-887c-384c64a66186.jpg,"O'Keeffe, Georgia",American,1887,1986,oil on canvas,,Gift of Mr. and Mrs. James W. Fesler,1941,"Like all her magnified views, the hills of O'Keeffe's New Mexico landscapes threaten to burst the bounds of the frame.
O'Keeffe painted this canvas during a trip to a desolate region of New Mexico.
The artist was a modernist painter associated with Alfred Stieglitz and his New York galleries.",Purchased from the artist by Caroline Fesler
The Pioneers,http://www.imamuseum.org/art/collections/artwork/pioneers-shaw-joshua,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/27/275cb30e-5ee4-43eb-aa97-4c652404785a.jpg,Joshua Shaw,American,1776,1861,oil on canvas,,James E. Roberts Fund and Emma Harter Sweetser Fund,1838,"The Pioneers resemble a style of British landscape painting known as ""picturesque,"" which features images such as the shadowy valley, rugged woodcutters, twisted trees and romantic stone ruins.
English-born Shaw painted the branches and leaves with a delicate touch.",The piece was purchased from the Robert Rice Gallery in Houston in 1979
Ruth Gleaning,http://www.imamuseum.org/art/collections/artwork/ruth-gleaning-rogers-randolph,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/38/384f3665-0a6f-41cd-8af2-c794f8629d0f.jpg,"Rogers, Randolph",American,1825,1892,marble on plum marble pedestal,35 1/2 x 20 x 20 in.,Gift in honor of Mr. and Mrs. William L. Fortune by their children and Gift of the Alliance of the IMA,1853,"The statue's elegant face and poised bearing have the grace and dignity of the neo-classical ideal.
Rogers was a member of the neo-classical movement considered to be America's first native school of sculpture.
Ruth was an Old Testament heroine who left her birthplace and settled in Israel, uttering the words, ""Whither thou goest, I will go.""",Purchased in Italy in the mid-1930s collection of gaetano Lancellotti Rhode Island until 1987 sold to the museum through Conner-Rosenkranz
Still Life with Fish,http://www.imamuseum.org/art/collections/artwork/still-life-fish-chase-william-merritt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/55/55041c4e-2dd4-48ba-940f-39869e3e9d5b.jpg,William Merritt Chase,American,1849,1916,oil on canvas,,John Herron Fund,1910,"This balanced composition set against a dark background reflects Chase's Munich training.
Famous for his rapid technique, Chase claimed he could return at least one fish to market fresh enough to be sold.",
Loch Long,http://www.imamuseum.org/art/collections/artwork/loch-long-duncanson-robert-scott,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b9/b98833e4-c80d-4065-a949-4385b5989405.jpg,"Duncanson, Robert Scott",American,1821,1872,oil on canvas,,Gift of the Alliance of the Indianapolis Museum of Art,1867,"This scene is typical of Hudson River School painting in its inclusion of small figures, misty mountains, sun-dappled shore, and expansive vista.
Duncanson produced a series of Scottish landscapes stimulated by his travels and the literature of Sir Walter Scott.",Private Collection Visalia Purchased by the IMA from Butterfields and Butterfields in San Francisco CA in 1997
Louisa Fletcher,http://www.imamuseum.org/art/collections/artwork/louisa-fletcher-blumenschein-mary-shepard-greene,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/5c/5c715cc9-71c4-4fea-b3cb-7ed044e39791.jpg,Mary S. Blumenschein,American,1869,1958,oil on canvas,,Gift of Miss Sally Reahard,1912,"Louisa seems an assured, engaging model in her fashionable empire-cut gown.
Louisa was the daughter of Indianapolis banker Stoughton Fletcher and wife of Hoosier author Booth Tarkington, whom she divorced in 1911.
The artist and Louisa were friends with a mutual interest in art.",
"Orange Road, Tarpon Springs",http://www.imamuseum.org/art/collections/artwork/orange-road-tarpon-springs-inness-george,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e7/e762df50-81eb-4976-9ff2-82c3d451abac.jpg,"Inness, George",American,1825,1894,oil on canvas,,Gift of Mrs. James L. Rose in memory of her mother Mrs. William A. Smith,1893,"In the hazy, vaporous atmosphere of this painting, Inness tried to meld the natural and spiritual worlds.
Inness followed the teachings of the Swedish mystic Emanuel Swedenborg, who theorized that objects in the material world exist in a parallel spiritual realm.",
Study of a Young Woman,http://www.imamuseum.org/art/collections/artwork/study-young-woman-chase-william-merritt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8d/8d89366d-e29a-4ab4-98d6-dc1edf88dbe3.jpg,William Merritt Chase,American,1849,1916,oil on canvas,,Gift of Mrs. John N. Carey,1883,,
Still Life with Hummingbird,http://www.imamuseum.org/art/collections/artwork/floral-still-life-hummingbird-chase-william-merritt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/73/73f6ade6-4146-4972-a08f-69931da59def.jpg,William Merritt Chase,American,1849,1916,oil on canvas,,Gift of Carl B. Shafer,1870,"The lighter tonalities and tighter brushwork are characteristic of Chase's early work.
Based on the strength of his still lifes, a group of St. Louis businessmen sponsored Chase's education at the Munich Royal Academy in 1872.
Although flowers occasionally reappear in the artist's output, his reputation as a still life painter was secured by his bravura depictions of fish.",
After the Shower,http://www.imamuseum.org/art/collections/artwork/after-shower-chase-william-merritt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/18/187ae98a-8254-4541-a233-ba9b982aea6e.jpg,William Merritt Chase,American,1849,1916,oil on canvas,,John Herron Fund,1885,,
The Valley in the Sea,http://www.imamuseum.org/art/collections/artwork/valley-sea-moran-edward,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/21/2184c171-36c4-4b1c-b9bb-429ed59bd3cd.jpg,"Moran, Edward",American,1829,1901,oil on canvas,,Martha Delzell Memorial Fund,1862,"This canvas is perhaps the only panoramic underwater scene in 19th-century American art, and it is the aquatic equivalent of a Hudson River School landscape.
Moran may have been inspired by underwater exploration related to the laying of the first successful telegraph cable in 1858.",The piece was first owned by Dr. J.M. Sommerville in 1862.  Bernard Danenberg Inc. of New York sold the piece to the Indianapolis Museum of Art in 1970.
Portrait of a Family,http://www.imamuseum.org/art/collections/artwork/portrait-elizabeth-stoughton-wolcott-laura-and-oliver-stuart-gilbert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/09/09492ac3-df80-435e-9c4c-09b989ebbe49.jpg,"Stuart, Gilbert",American,1755,1828,oil on canvas,,Gift of Mrs. Herman C. Krannert,1783,"Gilbert Stuart
Portrait of A Family, ca. 1783 - 1793
oil on canvas
50 x 40 in.
Gift of Mrs. Herman C. Krannert
 Learn More
Debt resulting from an inability to manage money kept Gilbert Stuart on the move much of his life.  Born in North Kingston, Rhode Island and raised in Newport, Stuart was taught by a local Scottish painter who took him to Scotland, but his mentor’s death forced Stuart back to America.  During the Revolutionary War, he returned to England to study with the American expatriate Benjamin West.  As success came, so did debt which forced Stuart to Dublin, Ireland and then to America, where he eventually became the most highly regarded portraitist of his day. A skillful master of his craft, Stuart painted directly on the canvas, without using any preliminary drawing. By the end of his career, Stuart had painted over a thousand portraits of important political figures.  One of his most famous portraits of George Washington was the “Athenaeum Head” currently on the dollar bill.
In this painting, the woman and children are posed against a drawn drape in the style of British portraiture.  The similarity of the colors used in the sash, chair, curtain and trim on the young boy’s jacket move the viewer’s eye around the canvas to encompass all the figures. The woman is wearing a simple, elegant, robe à l’anglaise, a gown favored by portrait painters of the period.  The woman’s hair is lightly powdered and fashionably styled in the coiffure à l'hérisson, or “hedgehog,” in which the hair was cut short in the front, frizzed to the ends and then brushed up away from the face. 
Reference
Carrie Rebora Barratt, Ellen Gross Miles.  Gilbert Stuart, New York: Metropolitan Museum of Art, 2004.  ISBN-13: 978-1588391247",
The Rainbow,http://www.imamuseum.org/art/collections/artwork/rainbow-inness-george,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/93/9305cd46-399b-418e-9ac5-f05aaa8f9c6e.jpg,"Inness, George",American,1825,1894,oil on canvas,,Gift of George E. Hume,1878,"The storm provides a striking contrast between the passing dark clouds, a rainbow streaking across the sky, and the sun illuminating the grass.
The Rainbow belongs to the dramatic series of storm scenes painted by Inness during the late 1870s.",Mr. H. Wheeler Bond purchased the piece from the artist.  Mrs. Edward Carroll Sibley (Mr. Bond's daughter) inherited the piece.  Max Safron of St. Louis purchased the piece.  It was then owned by Dr. Maurice J. Lonsway of St. Louis.  The piece was presented to the John Herron Art Institute of Indianapolis in 1944.
Portrait of a German Tragedian,http://www.imamuseum.org/art/collections/artwork/portrait-german-tragedian-blumenschein-ernest-leonard,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/6d/6dde50ae-9880-4a11-8783-466337663aed.jpg,"Blumenschein, Ernest Leonard",American,1874,1960,oil on canvas,,Gift of Booth Tarkington,1907,"The sitter’s expressive right hand reveals that the artist had a solid grounding in draftsmanship and modeling.
This portly man was an actor stranded in Paris who posed for painters between acting jobs.
The portrait was exhibited in Paris in 1908, where Booth Tarkington purchased it.",
Our Flag,http://www.imamuseum.org/art/collections/artwork/our-flag-church-frederic-edwin,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e4/e48e0bc9-584b-4399-804c-50c255030435.jpg,"Church, Frederic Edwin",American,1826,1900,oil on canvas,,Gift of Mr. and Mrs. Eugene C. Pulliam,1864,"Church painted panoramic vistas of scenes from New England to South America, but in this canvas he offers a symbolic image of America during the Civil War.
The 31-star flag of the Union flutters amidst the smoke of battle as a symbol of Church's belief in the eventual triumph of the Union.",Mr. Albert Ten Eyck Gardner New York Cincinnati Art Museum Hirschl and Adler
November Morning,http://www.imamuseum.org/art/collections/artwork/november-morning-tryon-dwight-william,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/10/1091d62d-2787-44ef-9121-f1f7e9c8f358.jpg,"Tryon, Dwight William",American,1849,1925,oil on panel,26 x 34 in.,John Herron Fund,1901,"This painting's introspective mood, harmonious colors and peaceful, open scene are prime examples of American Tonalism. 
The artist wanted his lanscapes to be evocations of states of mind.
Tryon's favorite subject was a stand of trees in a barren field at twilight.",
Hurricane,http://www.imamuseum.org/art/collections/artwork/hurricane-marin-john,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d8/d81270cf-7530-4129-8df7-97899b413626.jpg,"Marin, John",American,1870,1953,oil on canvas,,Estate of Mrs. James W. Fesler,1944,"Patches of raw canvas, daubs of thick paint and frenzied brushwork convey the turbulence of the stormy sea.
Marin is best known for his watercolors, but his oils also exude the dynamic power of nature.
The artist created landscapes inspired by cubism, and a sensitivity to nature's rhythms.",The artist Alfred Stieglitz and An American Place Mrs. Fesler purchased the piece in 1944 donated to the museum by Mrs. Fesler 1961
Whaler and Fishing Vessels near the Coast of Labrador,http://www.imamuseum.org/art/collections/artwork/whaler-and-fishing-vessels-near-coast-labrador-bradford-william,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ac/ac50db94-2ff0-41a0-84c9-61dff7329bcc.jpg,"Bradford, William",American,1823,1892,oil on canvas,,Gift of Delavan Smith,1880,"In Bradford's day, icebergs were seen as symbols of the perpetual process of formation and destruction, and the icy equivalents of mountains.
The whaler and fishing vessels add a human presence that tempers the awesome scale of nature.",Gift to the museum by Delavan Smith
Margaret MacKittrick,http://www.imamuseum.org/art/collections/artwork/margaret-mackittrick-thayer-abbott-handerson,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ba/bacdecda-22d6-4381-9a99-9b5d1bcf3c5c.jpg,"Thayer, Abbott Handerson",American,1849,1921,oil on canvas,,Gift of the Friends of American Art.,1903,"Thayer’s image of his daughter’s 15-year-old friend embodies the natural beauty of young womanhood.
Her tousled hair, rough blouse and open gaze suggest a mixture of innocence and sensuality.
The Italian Renaissance-style frame was chosen by the artist.",
Seated Nude,http://www.imamuseum.org/art/collections/artwork/seated-nude-david-k-rubins,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9a/9aac8eb5-b412-4839-874e-1fbe981c585c.jpg,David K. Rubins,American,1902,1985,bronze,H: 19 1/4 in.,Delavan Smith Fund,1941,"In his sculpture, Rubins sought harmonious proportions and a pensive quality that exhibits his knowledge of classical sculpture and his skill at modeling the figure.
Rubins studied at the American Academy in Rome before joining the faculty at the Herron Art School in Indianapolis.",
The Bloom of the Grape,http://www.imamuseum.org/art/collections/artwork/bloom-grape-tc-steele,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d5/d591351f-6433-4e57-81e7-216652e3c291.jpg,T.C. Steele,American,1847,1926,oil on canvas,,Bequest of Delavan Smith,1893,"The luminosity and color harmonies in this painting exemplify Steele's impressionist style.
The title refers to the white, gauzy veil that covers grapes at harvest time.
Painted at Vernon, Indiana, The Bloom of the Grape is Steele's best-known landscape.",
"Chinese Fishing Village, Monterey Bay, California",http://www.imamuseum.org/art/collections/artwork/chinese-fishing-village-monterey-bay-california-brown-bolton-coit,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/7b/7b639720-b20a-4253-8024-fbb5bd6af2f0.jpg,"Brown, Bolton Coit",American,1864,1936,oil on canvas,,"Gift of Evans Woollen, Stoughton Fletcher, Mrs. Edward Daniels, Mrs. E.F. Hodges and Dr. Mary Spink",1890,"This canvas contains the broken light and color of the Impressionists, but its modulated hues create a quiet, contemplative mood.
Brown served as professor of art at Stanford University during the time this work was painted.",
Still Life,http://www.imamuseum.org/art/collections/artwork/still-life-thayer-abbott-handerson,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a0/a06ce742-200b-48b1-b614-8d61496f0efb.jpg,"Thayer, Abbott Handerson",American,1849,1921,oil on canvas,,Gift of the Gamboliers.  The frame is a partial gift of Eli Wilner & Company.,1886,,
Melons,http://www.imamuseum.org/art/collections/artwork/melons-hartley-marsden,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/06/0634bf5e-40a6-4684-ae85-79981688ae57.jpg,"Hartley, Marsden",American,1877,1943,oil on canvas,,Gift of M. Knoedler & Company through Mrs. James W. Fesler,1927,"In the late 1920s Hartley painted in southern France where Post-Impressionist Paul Cézanne had lived.
Melons reflects Cézanne's methods and approach in the parallel brushstrokes and the mountainous forms of the cloth.",Owned by Mr. James Imbrie of Lawrenceville N.J. and brought to the museum for purchase consideration.  The painting was originally owned by Judge Carden a patron of the artist.
Marianne Ashley Walker,http://www.imamuseum.org/art/collections/artwork/marianne-ashley-walker-stuart-gilbert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b6/b6fd8061-0978-48a1-a00a-79126a2403c6.jpg,"Stuart, Gilbert",American,1755,1828,oil on canvas,30 1/2 x 25 1/2 in.,Gift of Mrs. Nicholas H. Noyes,1799,"Stuart endows his subject with character and elegance through sheer technical facility, which is evident in Walker's exquisitely rendered flesh tones and lifelike eyes.
This portrait was painted on the occasion of the sitter's marriage.",Daniel H. Farr John Levy Gallery in New York 1933 given to the museum in 1952
"Summer, Lake Ontario",http://www.imamuseum.org/art/collections/artwork/summer-lake-ontario-cropsey-jasper-francis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/6d/6db01ffe-be95-4def-a5b8-c67b26e621dc.jpg,"Cropsey, Jasper Francis",American,1823,1900,oil on canvas,,Gift of the Friends of the Museum,1857,"The setting sun, luminous mists, and tidy farm buildings present a romantic image of man and nature in harmony.
This canvas is an idealized composition that combines motifs from several different locales.
Cropsey was widely acclaimed for his autumn landscapes.",Gambert and Co. London 1857 M.A. Newhouse and Son St. Louis 1926 Dr. Alva M. Kirkpatrick Indianapolis 1926 Mr. and Mrs. Paul Bilings Columbus 1955 purchased for the Indianapolis Museum of Art
Green Apples with Gray Curtain,http://www.imamuseum.org/art/collections/artwork/green-apples-gray-curtain-kuhn-walt,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/4b/4b17a804-e13e-4a23-8508-6830465324cb.jpg,"Kuhn, Walt",American,1880,1949,oil on canvas,,Gift of Mr. and Mrs. Henry R. Hope,1943,"The artist has transformed a haphazard arrangement of apples into a stable, pyramidal design, reflective of Paul Cézanne's use of solid, geometric forms.
Kuhn helped organize the New York Armory Show in 1913, the famous exhibition that introduced modern art to the American public.",
New York,http://www.imamuseum.org/art/collections/artwork/new-york-john-bradley-storrs,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a4/a4ffd02b-395c-4a83-9dc8-cdf0286861d7.jpg,John Bradley Storrs,American,1885,1956,brass and steel on black marble base (or vulcanite base),,Discretionary Fund,1925,"This elegant column can be read as a skyscraper or an abstract arrangement of geometric forms.
The sculpture's rigid geometry is tempered by the juxtaposition of steel, brass and marble.
Storrs was interested in the raw materials of industry, and towering skyscrapers.",Societé Anonyme New York New York Mrs. H. Edward Dreier New York New York Edith Gregor Haipert New York (The Downtown Gallery) (Sotheby Park Bernet Sale#3520 May 16 1973 catalogue 163 illustrated - Edith Gregor Haipert Collection Part II and other Property.) Indianapolis Museum of Art Indianapolis Indiana 1973
Landscape with Covered Wagon,http://www.imamuseum.org/art/collections/artwork/landscape-covered-wagon-durand-asher-brown,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/07/07c0f2a1-92ed-4364-8089-aab334aeb48e.jpg,"Durand, Asher Brown",American,1796,1886,oil on canvas,,Gift of Mrs. Lydia G. Millard,1847,"The path, covered wagon and pioneers, suggest the future cultivation of this landscape.
The unspoiled wilderness becomes both a haven for spiritual contemplation and a Promised Land to be settled by the pioneers.
Durand was a leader of the Hudson River School.",gift of Lydia Millard
The Boat Builders,http://www.imamuseum.org/art/collections/artwork/boat-builders-homer-winslow,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a3/a3f5ac16-315c-4874-9500-7ec2c924f1b6.jpg,"Homer, Winslow",American,1836,1910,oil on panel,,Martha Delzell Memorial Fund,1873,"Born in Cambridge, Massachusetts, Winslow Homer worked for years as an illustrator before taking night classes in drawing and painting at the National Academy of Design in New York City.  
During the early 1870s Homer explored a single theme in different media.  The oil painting The Boat Builders relates to a series of illustrations, prints and drawings devoted to the shipbuilding industry of Essex, Massachusetts and the maritime community of Gloucester, Massachusetts. 
Homer subtly connects the real nautical world with the children’s play by overlapping the toy boat and sailing ship on the horizon. Through their play the two boys may have been preparing for their future careers as fishermen, sailors or shipbuilders.","Dr. Alexander Crombie Humphreys [1851-1927] Hoboken N.J. inherited by his daughter Mrs. E.H. Turnbull (M. Knoedler and Co. New York and Macbeth Galleries New York) purchased by Edward Ward McMahon in 1932 sold about 1950 to (Hirschl and Adler New York){1} purchased by the Indianapolis Museum of Art in 1954 (54.10).

{1} All provenance information contained in a letter from Homer scholar Lloyd Goodrich dated 29 April 1954 in IMA Historical File (54.10)."
Jimson Weed,http://www.imamuseum.org/art/collections/artwork/jimson-weed-okeeffe-georgia,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/fc/fc256fa3-a0c3-41e0-b9f6-eda0f6fc1613.jpg,"O'Keeffe, Georgia",American,1887,1986,oil on linen,,Gift of Eli Lilly and Company,1936,"This is O'Keeffe's largest and most ambitious floral work, with her signature emphasis on size and contour.
In 1936 Elizabeth Arden commissioned O'Keeffe to paint Jimson Weed for the exercise room of her New York spa.",Elizabeth Arden commissioned the piece from the artist Elizabeth Arden salon was purchased by Eli Lilly and Co in 1971 Eli Lilly donated the painting to the museum in 1997
He Is Risen (The Passion of Christ Series),http://www.imamuseum.org/art/collections/artwork/he-risen-passion-christ-series-bearden-romare-howard,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d9/d982abf6-6d03-4fb6-a3b4-010ce9ebfceb.jpg,"Bearden, Romare Howard",American,1914,1988,oil on gessoed board,,"James E. Roberts Fund, Cecil F. Head Art Fund, Mary V. Black Art Endowment Fund, Roger L. Williams Fund",1945,"The Passion of Christ Series established Bearden as an abstract artist.
This painting creates a celebratory mood of rebirth and redemption.
Bearden grew up in Harlem and was influenced by the Harlem Renaissance.","From the artist to Duke Ellington [1899-1974] in 1945 by descent in the Ellington family to Stephen James Duke Ellington's son in 1974 consigned by James to (Hollis Taggart Galleries New York) in 2006 (1) 
(1) Provenance information supplied by (Hollis Taggart Galleries New York)."
U.S.A.,http://www.imamuseum.org/art/collections/artwork/usa-haberle-john,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/52/5225dd86-585b-4e31-b3f3-253895f9c0fd.jpg,"Haberle, John",American,1856,1933,oil on canvas,8 1/2 x 12 in.,Gift of Paul and Ruth Buchanan,1889,,
George Washington at Princeton,http://www.imamuseum.org/art/collections/artwork/george-washington-princeton-peale-charles-willson-polk-charles-peale,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/46/46993e75-e98e-4a87-8da2-c783501dd948.jpg,"Peale, Charles Willson",American,1741,1827,oil on canvas,,Gift of Mr. and Mrs. NIcholas H. Noyes,1788,"Washington is elegantly attired in military garb holding his sword as a reference to his role as an officer.
This scene shows Washington at Princeton, New Jersey where the revolutionary army won a victory in 1777.",Jonathan Swift Alexandria Virginia | William Swift-Patten Rhinebeck New York
Reflections,http://www.imamuseum.org/art/collections/artwork/reflections-dove-arthur-garfield,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9a/9ae3431e-afb4-46bc-9d5c-b51bcda5addc.jpg,"Dove, Arthur Garfield",American,1880,1946,oil on canvas,15 1/8 x 21 1/16 in.,Caroline Marmon Fesler Fund,1935,"Reflections features the circular shapes, natural forms and feathered brushstrokes that are hallmarks of Dove's style.
Dove, an artist known for his humor and whimsy, said that this painting was about reflections from headlights on the windshield of a car.
The artist was a key member of the Stieglitz Group of modernist painters and a pioneer of abstraction.",The artist Alfred Stieglitz in New York The Downtown Gallery in New York collection of Mr. and Mrs. Denman Bellevue WA private collection corporate collection purchased from Alexandre Gallery in 2003 by the IMA
Landscape,http://www.imamuseum.org/art/collections/artwork/landscape-whittredge-worthington,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9e/9e3ba49d-173f-4cda-9f14-41ebe38849fc.jpg,"Whittredge, Worthington",American,1820,1910,oil on canvas,20 3/8 x 14 1/2 in. (framed),Gift of Dr. Charles Jordan,1886,,
